row_index,review,clean_review,positive_terms,negative_terms,positive_score,negative_score,final_score,current_label,evidence_pattern,recommended_label_if_clear
133,"Jakone ini memang mudah banget transaksi nya dari buat rekening secara online terus bisa scan qris juga, dan bisa bayar tagihan apa aja disini. Biasanya aku lebih sering pakai buat beli token listrik, daripada jauh jauh keluar tinggal pencet pencet ajaa. Donee deh 🥰",jakone mudah banget transaksi nya rekening secara online bisa scan qris bisa bayar tagihan disini biasanya lebih pakai beli token listrik jauh jauh keluar tinggal pencet pencet ajaa donee deh,mudah:4; banget:1; transaksi:4; bayar:1; lebih:1; beli:2; tinggal:1,jauh:-4; jauh:-4; keluar:-3; pencet:-2; pencet:-2,14.0,-15.0,-1.0,negatif,,manual_review
138,"Aplikasi ini sangat rekomended banget guys yuk buruan download, JakOne termasuk salah satu market jual beli online yg sangat murah sekali dan kalian juga bisa melakukan deposito dr aplikasi ini guys...",aplikasi rekomended banget guys yuk buruan download jakone termasuk salah market jual beli online murah kalian bisa melakukan deposito aplikasi guys,banget:1; guys:1; yuk:4; buruan:1; jual:1; beli:2; murah:3; deposito:3; guys:1,aplikasi:-4; termasuk:-3; salah:-4; aplikasi:-4,17.0,-15.0,2.0,positif,,manual_review
142,mau verifikasi data aja susahnya minta ampun gagal Mulu. heran,verifikasi data susahnya minta ampun gagal mulu heran,minta:2; ampun:1; mulu:2; heran:4,data:-3; susahnya:-3; gagal:-4,9.0,-10.0,-1.0,negatif,,manual_review
169,Aplikasi Mobile banking yang sesuai dengan jam kerja konvensional.,aplikasi mobile banking sesuai jam kerja konvensional,sesuai:3; kerja:2,aplikasi:-4,5.0,-4.0,1.0,positif,,manual_review
174,Apk yang sangat membantu,aplikasi membantu,membantu:4,aplikasi:-4,4.0,-4.0,0.0,netral,sangat membantu,positif
198,Apk nya bagus membantu,aplikasi nya bagus membantu,bagus:2; membantu:4,aplikasi:-4,6.0,-4.0,2.0,positif,bagus,positif
199,"Ada aja problemnya, insyaallah mau langsung pindahkan dana saja lah setiap gajian. Dibuat repot dong, ampun dah",problemnya insyaallah langsung pindahkan dana setiap gajian dibuat repot ampun dah,insyaallah:2; langsung:3; dana:4; ampun:1,repot:-5; dah:-3,10.0,-8.0,2.0,positif,,manual_review
200,"Aplikasi yang sangat membantu, mempermudah sekali, gampang di fahami, saya suka sekali sama aplikasi ini",aplikasi membantu mempermudah gampang fahami suka aplikasi,membantu:4; gampang:4; suka:3,aplikasi:-4; mempermudah:-3; aplikasi:-4,11.0,-11.0,0.0,netral,sangat membantu,positif
208,"menyusahkan, transfer ga masuk tpi saldo ke potong, hadeuhhh",menyusahkan transfer tidak masuk saldo potong hadeuhhh,menyusahkan:4; masuk:3; saldo:2,tidak:-5; potong:-2,9.0,-7.0,2.0,positif,,manual_review
210,aplikasi ini bermanfaat,aplikasi bermanfaat,bermanfaat:5,aplikasi:-4,5.0,-4.0,1.0,positif,,manual_review
226,Nabung lebih aman di JakOne. ngatur uang jadi lebih gampang... app bank digital yang multifungsi,nabung lebih aman jakone ngatur uang lebih gampang aplikasi bank digital multifungsi,lebih:1; lebih:1; gampang:4,aplikasi:-4,6.0,-4.0,2.0,positif,,manual_review
230,Transfer transfer gak perlu ribet dengan jakone. Semoga jakone semakin berkembang lebih bagus lagi yaa... 🤗🤗,transfer transfer tidak ribet jakone semoga jakone berkembang lebih bagus yaa,ribet:4; lebih:1; bagus:2,tidak:-5,7.0,-5.0,2.0,positif,bagus; ribet,manual_review
232,"Kenapa saya pas submit slalu gagal dengan notif kartu sudah terdaftar dengan kode (2028) ,mohon solusinya",kenapa pas submit slalu gagal notif kartu terdaftar kode 2028 mohon solusinya,pas:3; terdaftar:1; mohon:2; solusinya:3,gagal:-4; kode:-3,9.0,-7.0,2.0,positif,,manual_review
234,"Gajls transaksi gagal tapi saldo terpotong, udh gitu baliknya lama lagi kesaldo utamanya berhari hari, tolong dong dipercepat dan diperbaiki lagi pelayanannya, sudah 3x begini dalam 1 bulan",gajls transaksi gagal saldo terpotong gitu baliknya kesaldo utamanya berhari hari tolong dipercepat diperbaiki pelayanannya 3x 1 bulan,transaksi:4; saldo:2; tolong:3,gagal:-4; terpotong:-3; bulan:-1,9.0,-8.0,1.0,positif,cepat; transaksi gagal,manual_review
251,"Aplikasinya user friendly, jadi bisa sat set kalo mau transaksi",aplikasi user friendly bisa sat set transaksi,transaksi:4,aplikasi:-4,4.0,-4.0,0.0,netral,,manual_review
255,verifikasi wajah lama banget abis itu koneksi gagal,verifikasi wajah banget abis koneksi gagal,banget:1; abis:1; koneksi:2,gagal:-4,4.0,-4.0,0.0,netral,,manual_review
259,"Aplikasi yang sangat bagus, bisa mempermudah transakasi perbankan saya. Makasih JakOne...",aplikasi bagus bisa mempermudah transakasi perbankan makasih jakone,bagus:2; makasih:4,aplikasi:-4; mempermudah:-3,6.0,-7.0,-1.0,negatif,bagus,positif
271,"Rekomendasi banget buat aplikasi ini tanpa bawa uang cash cuma modal hp tanpa ribet bisa beli apapun sesuka hati dengan aplikasi inii,terima kasiiiih",rekomendasi banget aplikasi bawa uang cash modal hp ribet bisa beli apapun sesuka hati aplikasi inii terima kasiiiih,banget:1; bawa:1; cash:2; modal:2; beli:2; hati:2; terima:2,aplikasi:-4; ribet:-4; aplikasi:-4,12.0,-12.0,0.0,netral,ribet,negatif
272,"Makin di update makin baik ni aplikasinya, tampilannya simple dan mudah di pahami, ringan juga aplikasinya. Mantappp",update ni aplikasi tampilannya simple mudah pahami ringan aplikasi mantappp,simple:3; mudah:4; ringan:2,aplikasi:-4; aplikasi:-4,9.0,-8.0,1.0,positif,simple; mantap,positif
275,Kenapa habis diupdate malah jaringan nya muter² teruss sampai skrg dah uninstal terus instal ulang masih gak bisa muteruter teruss,kenapa habis diupdate jaringan nya muter teruss skrg dah uninstal instal ulang tidak bisa muteruter teruss,habis:3; jaringan:3,dah:-3; tidak:-5,6.0,-8.0,-2.0,negatif,,manual_review
284,"Aplikasinya sangat bagus dan userfriendly, banyak fiturnya jadi membantu saat membayar tagihan listrik, beli pulsa dll",aplikasi bagus userfriendly fiturnya membantu membayar tagihan listrik beli pulsa dll,bagus:2; membantu:4; beli:2,aplikasi:-4; membayar:-3; pulsa:-3,8.0,-10.0,-2.0,negatif,bagus,positif
302,"Sangat recomended aplikasi JakOne ini karena kebutukan transfer, top up, bayar tagihan semua bisa",recomended aplikasi jakone kebutukan transfer top up bayar tagihan bisa,top:5; bayar:1,aplikasi:-4,6.0,-4.0,2.0,positif,,manual_review
312,"Bagus versi yang lama, karna yang baru tidak bisa buka mutasi terakhir",bagus versi tidak bisa buka mutasi,bagus:2; buka:3,tidak:-5,5.0,-5.0,0.0,netral,bagus,positif
318,mau isi token susah!!!! errornyabga kelar2!!! payahhhhhhhhh. under cycber attack ya? dari jam 8 sampe sekarang ga bener2.,isi token susah errornyabga kelar2 payahhhhhhhhh under cycber attack ya jam 8 sampe tidak bener2,isi:2; ya:4,susah:-3; tidak:-5,6.0,-8.0,-2.0,negatif,error; payah,negatif
333,buruk banget Mauk ke aplikasih tulisan perikasn koneksi internet pake wifi kaya gth pake Kouta pribadi juga hadeeeh,buruk banget mauk aplikasih tulisan perikasn koneksi internet pakai wifi kaya gth pakai kouta pribadi hadeeeh,banget:1; koneksi:2; kaya:2,buruk:-5,5.0,-5.0,0.0,netral,buruk,negatif
351,Rekomen banget aplikasi ini dan sangat membantu bnyk sekali fitur fitur menarik yang mempermudah saya. Cara pemakaian apk ini juga sangat mudah dan gak ribet,rekomen banget aplikasi membantu bnyk fitur fitur menarik mempermudah pemakaian aplikasi mudah tidak ribet,banget:1; membantu:4; menarik:4; mudah:4; ribet:4,aplikasi:-4; mempermudah:-3; aplikasi:-4; tidak:-5,17.0,-16.0,1.0,positif,aplikasi mudah; sangat membantu; ribet,manual_review
352,"Applikasi nya bagus bgd, mempermudah di era jaman skrg yg semuanya serba digital, bayar ini itu simpel gampang, ga ribet dah ..",applikasi nya bagus bgd mempermudah era jaman skrg semuanya serba digital bayar simpel gampang tidak ribet dah,bagus:2; bayar:1; simpel:3; gampang:4; ribet:4,mempermudah:-3; jaman:-2; semuanya:-3; tidak:-5; dah:-3,14.0,-16.0,-2.0,negatif,simpel; bagus; ribet,manual_review
409,"Aplikasi sangat bermanfaat sekali, baguss😄👍",aplikasi bermanfaat baguss,bermanfaat:5,aplikasi:-4,5.0,-4.0,1.0,positif,bagus,positif
416,Aplikasinya memudahkan banget dalam bertransaksi bayar listrik gapake ribet sekarang 👍,aplikasi memudahkan banget bertransaksi bayar listrik gapake ribet,memudahkan:3; banget:1; bertransaksi:3; bayar:1,aplikasi:-4; ribet:-4,8.0,-8.0,0.0,netral,memudahkan; ribet,manual_review
434,"Ada banyak benetif gratis untuk aplikasi ini, mendapatkan reward Rp600rb saat mendaftar",benetif gratis aplikasi mendapatkan reward rp600rb mendaftar,gratis:4,aplikasi:-4,4.0,-4.0,0.0,netral,,manual_review
438,"Tambah lemot, gimana si buruk sekalii",tambah lambat gimana si buruk sekalii,tambah:3; lambat:1,buruk:-5,4.0,-5.0,-1.0,negatif,lemot; lambat; buruk,negatif
439,"Aplikasinya sangat bagus, dan bermanfaat, tiada 2 aplikasi kaya gini👍",aplikasi bagus bermanfaat tiada 2 aplikasi kaya gini,bagus:2; bermanfaat:5; tiada:1; kaya:2,aplikasi:-4; aplikasi:-4,10.0,-8.0,2.0,positif,bagus,positif
445,Kok saya ga bisa login ya buat aktivasi,kok tidak bisa login ya aktivasi,ya:4; aktivasi:2,tidak:-5,6.0,-5.0,1.0,positif,tidak bisa login,negatif
448,Lebih lengkap jakone versi lama.. di sini hanya terlihat 1 rekening.. rekening yg lain tidak muncul.. deposito online juga tidak otomatis berpindah dari jakone versi lama ke jakone versi baru.. jujur lebih suka jakone versi lama.. klo lebih baik versi lama.. kenapa harus rubah ke versi baru?,lebih lengkap jakone versi 1 rekening rekening tidak muncul deposito online tidak otomatis berpindah jakone versi jakone versi jujur lebih suka jakone versi klo lebih versi kenapa rubah versi,lebih:1; lengkap:2; deposito:3; jujur:4; lebih:1; suka:3; lebih:1,tidak:-5; muncul:-1; tidak:-5; otomatis:-3,15.0,-14.0,1.0,positif,,manual_review
450,sangat menyusahkan knp harus ad merchant di tokped kalo gak bisa langsung update saldonya bikin susah orang jakcad ini,menyusahkan knp ad merchant tokped tidak bisa langsung update saldonya bikin susah orang jakcad,menyusahkan:4; langsung:3,tidak:-5; susah:-3,7.0,-8.0,-1.0,negatif,,manual_review
475,"kapan di perbaiki ini ,sudah 4 hari gak bisa transfer ke Bank lain... hei bank plat merah nyusahin hari lebaran",kapan perbaiki 4 hari tidak bisa transfer bank hei bank plat merah nyusahin hari lebaran,merah:4,tidak:-5,4.0,-5.0,-1.0,negatif,,manual_review
477,heran gembelita banget sistem jakonenya,heran gembelita banget sistem jakonenya,heran:4; banget:1,sistem:-4,5.0,-4.0,1.0,positif,,manual_review
486,"Selain biasanya gw gunain untuk beli pulsa sama bayar tagihan listrik, CS di apk jakone ini ramah bgt gercep dan sgt responsif jd aku senengg gunainnya. Keceeee sih",biasanya gw gunain beli pulsa bayar tagihan listrik cs aplikasi jakone ramah banget gercep sgt responsif senengg gunainnya keceeee sih,beli:2; bayar:1; ramah:5; banget:1,pulsa:-3; aplikasi:-4,9.0,-7.0,2.0,positif,responsif,positif
491,"Aplikasi mudah di gunakan, Tampilan baru keren aplikasi ini bisa tampil baru dan mudah digunakan",aplikasi mudah gunakan tampilan keren aplikasi bisa tampil mudah digunakan,mudah:4; tampilan:1; tampil:1; mudah:4,aplikasi:-4; aplikasi:-4,10.0,-8.0,2.0,positif,mudah digunakan; aplikasi mudah; keren,positif
503,"Aplikasi JakOne mobile bagus sekali. Banyak fiturnya, sangat membantu saya dalam transfer dan pembayaran apa pun. Apk ini bagus ukuran nya pun ngak perlu penyimpanan yang banyak",aplikasi jakone mobile bagus fiturnya membantu transfer pembayaran aplikasi bagus ukuran nya ngak penyimpanan,bagus:2; membantu:4; bagus:2,aplikasi:-4; aplikasi:-4,8.0,-8.0,0.0,netral,sangat membantu; bagus,positif
509,Fitur Nya bagus Dan Ada hal hal Menarik di aplikasi Jakone,fitur nya bagus menarik aplikasi jakone,bagus:2; menarik:4,aplikasi:-4,6.0,-4.0,2.0,positif,bagus,positif
513,"Gubernur anis ya kocak gini. Aplikasi ga bisa. Ngehabisin dana triliunan ga jelas. Enak jabar. Jateng, jatim lebih mudah bayar pajak",gubernur anis ya kocak gini aplikasi tidak bisa ngehabisin dana triliunan tidak jelas enak jabar jateng jatim lebih mudah bayar pajak,ya:4; dana:4; enak:5; jabar:3; lebih:1; mudah:4; bayar:1,kocak:-2; aplikasi:-4; tidak:-5; tidak:-5; jelas:-1; pajak:-3,22.0,-20.0,2.0,positif,,manual_review
519,Aplikasi perbankan terbaik 💪,aplikasi perbankan terbaik,terbaik:5,aplikasi:-4,5.0,-4.0,1.0,positif,terbaik,positif
526,Mohon ditambahkan fitur tambah rekening. Di aplikasi lama saja bisa masa yang baru mengalami kemunduran,mohon ditambahkan fitur tambah rekening aplikasi bisa masa mengalami kemunduran,mohon:2; tambah:3; mengalami:3,aplikasi:-4; kemunduran:-5,8.0,-9.0,-1.0,negatif,,manual_review
527,Kok cuma bisa setor tunai sih ga ada tarik tunai nya???,kok bisa setor tunai sih tidak tarik tunai nya,tunai:3; tunai:3,tidak:-5; tarik:-2,6.0,-7.0,-1.0,negatif,,manual_review
542,Aplikasi sangat membantu .,aplikasi membantu,membantu:4,aplikasi:-4,4.0,-4.0,0.0,netral,sangat membantu,positif
549,Saldo terpotong setiap kali dapet transferan. Kocak bgt,saldo terpotong setiap dapet transferan kocak banget,saldo:2; dapet:2; banget:1,terpotong:-3; kocak:-2,5.0,-5.0,0.0,netral,,manual_review
560,"Aplikasi mudah di gunakan, Tampilan baru keren, ada banyak reward benefit gratis untuk aplikasi ini, mendapatkan reward, dan masih banyak lagi yang lainnya",aplikasi mudah gunakan tampilan keren reward benefit gratis aplikasi mendapatkan reward lainnya,mudah:4; tampilan:1; gratis:4,aplikasi:-4; aplikasi:-4,9.0,-8.0,1.0,positif,aplikasi mudah; keren,positif
561,kebiasaan jakone tuu asal mau kayak gini gangguan Mulu aplikasi nya aneh banget,kebiasaan jakone tuu asal kayak gini gangguan mulu aplikasi nya aneh banget,mulu:2; aneh:4; banget:1,kayak:-3; aplikasi:-4,7.0,-7.0,0.0,netral,,manual_review
581,"Tlng d bantu min, habis ganti HP, ternyata update aplikasi ny. Mau login lgi,udh ikutin cara sesuai petunjuk tpi ttp gagal.gk bisa ganti alamt email kh?",tlng d bantu min habis ganti hp ternyata update aplikasi ny login lgi ikutin sesuai petunjuk ttp gagal tidak bisa ganti alamt email kh,bantu:3; habis:3; ganti:3; sesuai:3; ganti:3,aplikasi:-4; gagal:-4; tidak:-5,15.0,-13.0,2.0,positif,,manual_review
582,"Bank ga jelas, nyusahin nasabah buat transaksi di waktu krusial.",bank tidak jelas nyusahin nasabah transaksi krusial,nasabah:4; transaksi:4,tidak:-5; jelas:-1,8.0,-6.0,2.0,positif,,manual_review
583,"dana kepotong 5x ga bisa hubungi CS, dana wajib kembali sih ini,",dana kepotong 5x tidak bisa hubungi cs dana wajib sih,dana:4; dana:4,tidak:-5; wajib:-2,8.0,-7.0,1.0,positif,,manual_review
586,"Versi terbaru malah susah sekali utk masuk, loading lama sekali",versi terbaru susah masuk loading,terbaru:4,susah:-3; masuk:-3,4.0,-6.0,-2.0,negatif,susah masuk,negatif
588,"Aplikasi mudah di gunakan, Tampilan baru keren,dan banyak sekali reward hadiahnya",aplikasi mudah gunakan tampilan keren reward hadiahnya,mudah:4; tampilan:1,aplikasi:-4,5.0,-4.0,1.0,positif,aplikasi mudah; keren,positif
592,Kenapa tidak bisa daftar jakone tolong min,kenapa tidak bisa daftar jakone tolong min,daftar:1; tolong:3,tidak:-5,4.0,-5.0,-1.0,negatif,,manual_review
600,"Jaringan HP bagus, pas masuk aplikasi Jakone malah loading terus hadehh",jaringan hp bagus pas masuk aplikasi jakone loading hadehh,jaringan:3; bagus:2; pas:3,masuk:-3; aplikasi:-4,8.0,-7.0,1.0,positif,bagus,positif
615,Aplikasi nya sangat membantu sekali,aplikasi nya membantu,membantu:4,aplikasi:-4,4.0,-4.0,0.0,netral,sangat membantu; membantu sekali,positif
616,"Pertama kali buka rekening di apk JakOne easy alias mudah prosesnya. Aplikasinya juga sangat membantu di setiap transaksi, fitur-fiturnya trnyata simple ga bikin bingung buat saya yg pertama kali mencoba aplikasinya, keren deh 👌🏼",pertama buka rekening aplikasi jakone easy alias mudah prosesnya aplikasi membantu setiap transaksi fitur fiturnya trnyata simple tidak bikin bingung pertama mencoba aplikasi keren deh,buka:3; mudah:4; membantu:4; transaksi:4; simple:3,aplikasi:-4; aplikasi:-4; tidak:-5; aplikasi:-4,18.0,-17.0,1.0,positif,sangat membantu; simple; keren,positif
619,"Bank DKI yang terhormat.saya ada melakukan transaksi transfer ke bank lain.namun saldo tersebut belum ada masuk ke rekening tujuan dan di rekening saya tiba tiba saldonya 0,malah ada saldo 3000 di jakone pay padahal sebelumnya tidak ada saldonya alias 0.. saya cek mutasi rekening terdapat uang keluar sesuai yang saya transfer namun saya cek riwayat transaksi tidak ada uang keluar yang berhasil.saya sudah buat laporan ke CS bank DKI katanya tunggu 20 hari kerja.. luar biasa sungguh membingungkan",bank dki terhormat melakukan transaksi transfer bank saldo belum masuk rekening tujuan rekening tiba tiba saldonya 0 saldo 3000 jakone pay padahal sebelumnya tidak saldonya alias 0 cek mutasi rekening uang keluar sesuai transfer cek riwayat transaksi tidak uang keluar berhasil laporan cs bank dki katanya tunggu 20 hari kerja sungguh membingungkan,transaksi:4; saldo:2; masuk:3; saldo:2; sesuai:3; transaksi:4; berhasil:3; tunggu:1; kerja:2; sungguh:4,tidak:-5; cek:-4; keluar:-3; cek:-4; tidak:-5; keluar:-3; laporan:-5; katanya:-1,28.0,-30.0,-2.0,negatif,,manual_review
622,Mengecewakan Fitur bi fast nya hilang tidak ada di aplikasi lagi. Padahal sangat menbantu bgt,mengecewakan fitur bi fast nya hilang tidak aplikasi padahal menbantu banget,hilang:3; aplikasi:4; banget:1,mengecewakan:-3; tidak:-5,8.0,-8.0,0.0,netral,,manual_review
629,setiap lebaran selalu eror mohon cepat diperbaiki sistemnya,setiap lebaran error mohon cepat diperbaiki sistemnya,mohon:2; cepat:3,error:-5,5.0,-5.0,0.0,netral,cepat; error; eror,manual_review
632,Sangat bagus sekali aplikasi ny 🤩 Mantap pokonmh g .....,bagus aplikasi ny mantap pokonmh tidak,bagus:2; mantap:5,aplikasi:-4; tidak:-5,7.0,-9.0,-2.0,negatif,bagus; mantap,positif
640,"tolonglah kalau untuk yang mau daftar di jakeone diberikan kemudahan, udah isi tinggal nunggu kode otp blm dikirim kirim. saya sebagai pengguna sangat kesusahan dengan adanya akses masuk ke jakeone",tolonglah daftar jakeone diberikan kemudahan udah isi tinggal nunggu kode otp belum dikirim kirim pengguna kesusahan akses masuk jakeone,daftar:1; kemudahan:3; isi:2; tinggal:1; nunggu:1; kirim:2; pengguna:1; akses:2,kode:-3; dikirim:-2; kesusahan:-5; masuk:-3,13.0,-13.0,0.0,netral,,manual_review
646,Mempermudah segala transaksi. Tidak perlu repot datang ke bank.,mempermudah transaksi tidak repot bank,transaksi:4; repot:5,mempermudah:-3; tidak:-5,9.0,-8.0,1.0,positif,,manual_review
652,Kenapa ya setiap mau masuk e-mobile nya tidak bisa trs dengan peringatan terkunci padahal username dan password sudah benar.,kenapa ya setiap masuk e mobile nya tidak bisa peringatan terkunci padahal username password benar,ya:4; benar:2,masuk:-3; tidak:-5,6.0,-8.0,-2.0,negatif,,manual_review
655,kocak punya CS kontak gabisa dihubungi,kocak punya cs kontak tidak bisa dihubungi,punya:3; kontak:2,kocak:-2; tidak:-5,5.0,-7.0,-2.0,negatif,,manual_review
679,Aplikasi sangat bagus dan perlu dikasih bintang 10 kalo bisa josshtt,aplikasi bagus dikasih bintang 10 bisa josshtt,bagus:2; dikasih:2,aplikasi:-4,4.0,-4.0,0.0,netral,bagus,positif
680,"Terimakasih jackone mobile, aplikasi yang bagus ga ribet jd mempermudah buat bertransaksi. Recommended 👍🏻",terimakasih jackone mobile aplikasi bagus tidak ribet mempermudah bertransaksi recommended,terimakasih:5; bagus:2; ribet:4; bertransaksi:3,aplikasi:-4; tidak:-5; mempermudah:-3,14.0,-12.0,2.0,positif,bagus; recommended; ribet,manual_review
691,Aplikasi m banking super lemot,aplikasi m banking super lambat,super:3; lambat:1,aplikasi:-4,4.0,-4.0,0.0,netral,lemot; lambat,negatif
703,Kenapa kode OTP tidak pernah masuk Susah sekali untuk menerima kode otp nya Tolong min berikan sosuli Kalau dapat solusi saya kasih bintang lima untuk sementara bintang dua dulu,kenapa kode otp tidak masuk susah menerima kode otp nya tolong min berikan sosuli solusi kasih bintang bintang,masuk:3; menerima:3; tolong:3; solusi:3; kasih:2,kode:-3; tidak:-5; susah:-3; kode:-3,14.0,-14.0,0.0,netral,otp tidak masuk; kode otp tidak masuk,negatif
