row_index,review_id,review,clean_review,rating,year,split_set,lexicon_score,label_original,label,label_source,refinement_reason,evidence_pattern,confidence_level
178,d80195c6-4738-4106-b1f2-84332d8fbfbf,"Alpikasi kurang nyaman sekarang alpikasinya tambah jelek susah digunakan,susah login",alpikasi kurang nyaman alpikasinya tambah jelek susah digunakan susah login,1,2025,test,-15.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,nyaman,high
179,f84b9d40-3a91-4ef3-99bf-15eeadf88c57,Semakin mantapp aplikasinya..,mantapp aplikasi,5,2022,train,-4.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,mantap,high
200,85f3e368-1f4d-4eb3-8ac3-8a735ed7b30b,"Aplikasi yang sangat membantu, mempermudah sekali, gampang di fahami, saya suka sekali sama aplikasi ini",aplikasi membantu mempermudah gampang fahami suka aplikasi,5,2023,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,sangat membantu,high
214,59555e1a-761f-49a4-a030-eb1ac6ea57ec,"Tolong untuk menu BI Fast diadakan kembali. saya mau transfer ke bank lain gabisa sama sekali. jangankan transfer beda bank, bayar bpjs pun gabisa. Memang sedang libur lebaran, tapi kita butuh bertransaksi dengan aman dan nyaman.",tolong menu bi fast diadakan transfer bank tidak bisa jangankan transfer beda bank bayar bpjs tidak bisa libur lebaran kita butuh bertransaksi aman nyaman,1,2025,train,-6.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,nyaman,high
234,7477f04e-cf4c-4157-9f6a-317e602001c2,"Gajls transaksi gagal tapi saldo terpotong, udh gitu baliknya lama lagi kesaldo utamanya berhari hari, tolong dong dipercepat dan diperbaiki lagi pelayanannya, sudah 3x begini dalam 1 bulan",gajls transaksi gagal saldo terpotong gitu baliknya kesaldo utamanya berhari hari tolong dipercepat diperbaiki pelayanannya 3x 1 bulan,1,2024,train,1.0,positif,negatif,high_confidence_refinement,negative_pattern: label conflicts with clear negative phrase,transaksi gagal,high
257,355089b7-116b-440e-91ed-2b8c2709c1d5,Aplikasi lemot..tak berguna buang² data,aplikasi lambat tak berguna buang data,1,2023,train,-14.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,berguna,high
265,497dc88a-ec04-4c4c-946d-43c8c15944d2,"Diupdate malah susah buat login, muter muter terus ujung-ujungnya periksa koneksi internet😅 selalu ada aja alesannya agar tidak terlihat buruk👍🏻 mantap..semoga semakin buruk😂",diupdate susah login muter muter ujung ujungnya periksa koneksi internet alesannya tidak buruk mantap semoga buruk,1,2023,train,-9.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,mantap,high
271,f8e489ed-c34b-4df1-acb0-da2eaea7f362,"Rekomendasi banget buat aplikasi ini tanpa bawa uang cash cuma modal hp tanpa ribet bisa beli apapun sesuka hati dengan aplikasi inii,terima kasiiiih",rekomendasi banget aplikasi bawa uang cash modal hp ribet bisa beli apapun sesuka hati aplikasi inii terima kasiiiih,5,2023,train,0.0,netral,negatif,high_confidence_refinement,neutral_zero: negative phrase canceled to zero,ribet,high
274,e00c8eb5-c09c-4ae5-8042-c1ca0f293938,WOW RECOMMENDED GUYS!!! aplikasinya keren banget!,wow recommended guys aplikasi keren banget,5,2022,validation,-2.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,recommended,high
312,56860da9-e67e-456a-8768-cf976e1a01ca,"Bagus versi yang lama, karna yang baru tidak bisa buka mutasi terakhir",bagus versi tidak bisa buka mutasi,3,2023,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,bagus,high
333,68d04ceb-706a-4485-b9ba-ac84cee6bd86,buruk banget Mauk ke aplikasih tulisan perikasn koneksi internet pake wifi kaya gth pake Kouta pribadi juga hadeeeh,buruk banget mauk aplikasih tulisan perikasn koneksi internet pakai wifi kaya gth pakai kouta pribadi hadeeeh,1,2025,train,0.0,netral,negatif,high_confidence_refinement,neutral_zero: negative phrase canceled to zero,buruk,high
346,23e41fbe-be8c-4191-bbaa-85c756ff405c,"Payah, Pembenahan nya terlalu lama",payah pembenahan nya,1,2025,train,0.0,netral,negatif,high_confidence_refinement,neutral_zero: negative phrase canceled to zero,payah,high
378,e83ddf3e-7115-4e3e-88cf-6980842858a4,Keren,keren,5,2023,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,keren,high
400,b188ef8c-4ed4-4d58-93d1-1b03daf829c2,Aplikasinya bagus. Mudah digunakan. Recommended buat yang gamau ribet.,aplikasi bagus mudah digunakan recommended gamau ribet,5,2022,train,-6.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,mudah digunakan,high
416,9fc5b96e-18ce-48a0-bced-ac7404ba6105,Aplikasinya memudahkan banget dalam bertransaksi bayar listrik gapake ribet sekarang 👍,aplikasi memudahkan banget bertransaksi bayar listrik gapake ribet,5,2023,test,0.0,netral,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,memudahkan,high
420,97a215f3-d45a-49f8-8047-53c5af8c118f,Keren,keren,5,2023,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,keren,high
437,df4e9c2f-5b1d-4c0d-8e88-eabb1ca341e3,Keren,keren,5,2024,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,keren,high
445,e64f79d8-28d8-4e2a-8ee7-6b013c3e13a8,Kok saya ga bisa login ya buat aktivasi,kok tidak bisa login ya aktivasi,5,2022,train,1.0,positif,negatif,high_confidence_refinement,negative_pattern: label conflicts with clear negative phrase,tidak bisa login,high
483,86b8b621-73c0-4056-8db8-ad7763ae14dc,"Aplikasinya mudah banget digunakan buat kalangan apapun karena tampilannya yang engga ribet memudahkan buat transaksi ataupun beli pulsa, kuota, dll. Pokonya aplikasinya the best banget buat remaja apalagi",aplikasi mudah banget digunakan kalangan apapun tampilannya engga ribet memudahkan transaksi ataupun beli pulsa kuota dll pokonya aplikasi the best banget remaja apalagi,5,2022,train,-6.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,memudahkan,high
485,902051af-4790-4643-ba86-13aa7cd48cc1,"Aplikasinya oke banget.. memudahkan transaksi, tampilannya ngga ribet, ngebantu banget utk proses transaksi sehari-hari.. ngga nyesel download aplikasi sebagus ini 🥰🥰🥰🥰🥰",aplikasi oke banget memudahkan transaksi tampilannya ngga ribet ngebantu banget proses transaksi sehari hari ngga nyesel download aplikasi sebagus,5,2022,train,-5.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,memudahkan,high
503,2ec4bd8f-4e7c-4ee3-8350-0efb2df2e4c0,"Aplikasi JakOne mobile bagus sekali. Banyak fiturnya, sangat membantu saya dalam transfer dan pembayaran apa pun. Apk ini bagus ukuran nya pun ngak perlu penyimpanan yang banyak",aplikasi jakone mobile bagus fiturnya membantu transfer pembayaran aplikasi bagus ukuran nya ngak penyimpanan,5,2022,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,sangat membantu; bagus,high
615,ba8f329c-cfbd-4959-a1ac-8098d2ce2995,Aplikasi nya sangat membantu sekali,aplikasi nya membantu,5,2023,test,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,sangat membantu; membantu sekali,high
632,a8663c89-2df9-4144-ada9-1cede8c83441,Sangat bagus sekali aplikasi ny 🤩 Mantap pokonmh g .....,bagus aplikasi ny mantap pokonmh tidak,5,2022,train,-2.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,mantap,high
639,7ea9bbe2-9608-4872-96cd-8af05b8c07dd,Aplikasi ini sangat banyak kegunaannya bisa beli pulsa pokoknya terbaikk🥰🥰,aplikasi kegunaannya bisa beli pulsa pokoknya terbaikk,5,2022,test,-8.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,terbaik,high
650,a05a340c-ec35-43f2-8066-369e25074fa6,Keren,keren,5,2023,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,keren,high
679,b2b2979f-2560-4200-9963-6cf89cafbd23,Aplikasi sangat bagus dan perlu dikasih bintang 10 kalo bisa josshtt,aplikasi bagus dikasih bintang 10 bisa josshtt,5,2023,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,bagus,high
681,21a434fc-8b6b-4e1d-8597-6141524f38f2,fitur-fitur diaplikasi Jakone keren baget,fitur fitur diaplikasi jakone keren baget,5,2022,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,keren,high
689,1a7c23cd-3620-4486-b8f7-4edce7cc40d9,"Banyak masalah, transfer sesama pengguna via qris gak bisa, tiap waktu ada aja hambatan buat transfer, sebagai user aplikasi ini gak nyaman Terpaksa pake aplikasinya",masalah transfer sesama pengguna via qris tidak bisa hambatan transfer user aplikasi tidak nyaman terpaksa pakai aplikasi,1,2025,train,-29.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,nyaman,high
691,064cc6c6-df04-4610-8d52-664b9cdc31d4,Aplikasi m banking super lemot,aplikasi m banking super lambat,1,2024,train,0.0,netral,negatif,high_confidence_refinement,neutral_zero: negative phrase canceled to zero,lemot; lambat,high
701,d59f501a-a018-45b3-9204-3b95f85117b9,Recommended 😍,recommended,5,2023,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,recommended,high
703,6328cf7c-650c-40e7-bbc5-e263b50d54fe,Kenapa kode OTP tidak pernah masuk Susah sekali untuk menerima kode otp nya Tolong min berikan sosuli Kalau dapat solusi saya kasih bintang lima untuk sementara bintang dua dulu,kenapa kode otp tidak masuk susah menerima kode otp nya tolong min berikan sosuli solusi kasih bintang bintang,2,2024,train,0.0,netral,negatif,high_confidence_refinement,negative_pattern: label conflicts with clear negative phrase,otp tidak masuk,high
737,0c94d18a-ff37-4a68-83b0-40871d435930,Aplikasi yang sangat mudah digunakan tampilannya keren mempermudah dalam pengiriman dana recomendet pokoknya,aplikasi mudah digunakan tampilannya keren mempermudah pengiriman dana recomendet pokoknya,5,2024,train,-7.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,mudah digunakan,high
753,9d4382af-71ac-4b67-9ebe-1b8dbc255151,Sangat baguss,baguss,5,2024,test,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,bagus,high
781,a6a1c250-2421-43a4-ba60-b984ffccdd6e,"Parah sangat mengecewakan, selama libur lebaran sampai hr ini selesai cuti bersama lebaran pun masih maintenance, banyak menu hilang seperti trf bi fast, ewallet dana ovo gopay shopee, bahkan qris pun selalu gagal. tarik tunai di atm bersama jg tidak bisa. hallooo parah banget, sudah lebih dari seminggu lho ini...",parah mengecewakan selama libur lebaran hr selesai cuti lebaran maintenance menu hilang trf bi fast ewallet dana ovo gopay shopee bahkan qris gagal tarik tunai atm jg tidak bisa hallooo parah banget lebih seminggu lho,1,2025,train,0.0,netral,negatif,high_confidence_refinement,neutral_zero: negative phrase canceled to zero,parah,high
782,7639da4c-41f6-4fbe-b8b6-f675f0c8daaa,makin kesini makin kesana...payah,kesini kesana payah,1,2025,train,0.0,netral,negatif,high_confidence_refinement,neutral_zero: negative phrase canceled to zero,payah,high
783,b742e1a7-6052-4d05-b925-db4b6976db41,keren lo.,keren lo,5,2026,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,keren,high
821,25b1fc65-f018-4377-ab56-2f2247a13384,apk makin kesini jadi ga jelas transfer ke bank lain ga bisa uang elektroniknya jg ga ada gopay dan dana atau ovo koq jadi bikin customer ga nyaman pakai jakone tolong dong kembalikan apk jakone seperti dulu makin kesini bukan memudahkan malah tambah susah,aplikasi kesini tidak jelas transfer bank tidak bisa uang elektroniknya jg tidak gopay dana ovo koq bikin customer tidak nyaman pakai jakone tolong kembalikan aplikasi jakone kesini bukan memudahkan tambah susah,2,2025,train,-32.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,nyaman,high
845,6863a7ee-15d6-43a5-9953-6ff8cc3af7ca,"mbanking errorr, sedang dibutuhkan tetapi offline berhari2",mbanking errorr dibutuhkan offline berhari2,1,2025,validation,0.0,netral,negatif,high_confidence_refinement,neutral_zero: negative phrase canceled to zero,error,high
858,c69e68d9-d73e-42d6-af7a-8e96b0ab967c,"Aplikasinya mudah di akses, ngga ribet, simpel, sangat membantu, semoga makin jayaa aplikasinya",aplikasi mudah akses ngga ribet simpel membantu semoga jayaa aplikasi,5,2022,train,-1.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,sangat membantu,high
859,42a8ba38-4dea-4321-bfec-8c6eadf7553a,aplikasinya ngebantu bangettt fitur fiturnya lengkap ga bikin bingung. mantap dehhh,aplikasi ngebantu banget fitur fiturnya lengkap tidak bikin bingung mantap dehhh,5,2024,train,-1.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,mantap,high
883,9d492faa-4540-43d5-ac2e-614e733dc081,Sangat membatu dalam usaha saya... the best dan recommended banget lah ini aplikasi,membatu usaha the best recommended banget aplikasi,5,2022,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,recommended,high
911,ee52447e-baa9-41b4-ab8b-861cc5504011,Keren,keren,5,2024,validation,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,keren,high
957,4db8909c-ca75-4852-b039-4f9d601a93d0,"Aplikasinya ringan, gak bikin hp lemot. Tampilannya simple jadi mudah digunakan. Bisa beli pulsa, kuota internet, token listrik, dll tanpa ribet",aplikasi ringan tidak bikin hp lambat tampilannya simple mudah digunakan bisa beli pulsa kuota internet token listrik dll ribet,5,2022,train,-6.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,mudah digunakan,high
1008,7a40aae1-2636-4f45-9b95-c72a753d48a0,"Aplikasi sangat lambat padahal internet normal, untuk verifikasi wajah selalu lama respon nya",aplikasi lambat padahal internet normal verifikasi wajah respon nya,1,2023,test,0.0,netral,negatif,high_confidence_refinement,neutral_zero: negative phrase canceled to zero,lambat,high
1036,0c6bac0c-dbd7-4303-b19c-a329a60f5e7a,"Aplikasi Mudah di gunakan! Aplikasi Cepat, tampilan nya user friendly aman dan terpercaya.",aplikasi mudah gunakan aplikasi cepat tampilan nya user friendly aman terpercaya,5,2022,validation,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,aplikasi mudah; cepat,high
1041,58b87e78-23fa-4f4a-b3c3-e8a716b3d385,mantapp..,mantapp,5,2023,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,mantap,high
1049,e861c7b6-4471-4ba2-9cb8-223698eb4e13,ada apa dengan aplikasi ini harus nya memudahkan tapi sekarang malah menyulitkan cetak rekening koran ga bisa tf ke bank lain ga bisa harus di perbaiki lagi dong sistem nya gangguan terus,aplikasi nya memudahkan menyulitkan cetak rekening koran tidak bisa transfer bank tidak bisa perbaiki sistem nya gangguan,1,2025,train,-15.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,memudahkan,high
1056,097dd8ff-8e9e-4d5e-9db4-164d95eb4753,Aplikasi JakOne Mobile sangat mudah dipahami dari vitur2 aplikasinya dah viturnyapun sangat menarik bagus banget.,aplikasi jakone mobile mudah dipahami vitur2 aplikasi dah viturnyapun menarik bagus banget,5,2022,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,bagus,high
1057,f6a4ed47-b027-4678-b6d3-dc99f0518704,"Aplikasi yang bagus, memudahkan kita banget untuk transaksi online. Kalo mager keluar juga bisa buat bayar tagihan PLN, beli pulsa dan paket data juga",aplikasi bagus memudahkan kita banget transaksi online mager keluar bisa bayar tagihan pln beli pulsa paket data,5,2023,validation,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,bagus; memudahkan,high
1129,e3318737-d6df-4c28-aa4a-2ec81772f923,Apk yang sangat baik mudah d mngerti,aplikasi mudah d mngerti,5,2023,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,aplikasi mudah,high
1137,e622735d-b4cd-4ef5-8649-178942a98016,Bagusss,bagusss,5,2024,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,bagus,high
1141,af84ec60-d5b8-4003-b2d4-5646f8c5ac50,"Transaksi jadi lebih mudah pake aplikasi ini , gapake ribet pokonya , sangat membantu banget guys , Yuk download ga bakalnlan nyesel deh kasih bintang 5 buat apk ini",transaksi lebih mudah pakai aplikasi gapake ribet pokonya membantu banget guys yuk download tidak bakalnlan nyesel deh kasih bintang 5 aplikasi,5,2023,train,-3.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,sangat membantu,high
1155,1197aaaf-6ac4-4f1a-9826-db2808f06d30,"pake aplikasi ini bikin praktis banget, apalagi kalau gak ada uang cash jajan tinggal scan scan ajaaaa👍",pakai aplikasi bikin praktis banget apalagi tidak uang cash jajan tinggal scan scan ajaaaa,5,2023,validation,-1.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,praktis,high
1181,adb95bb7-65e9-4bc0-8fb5-d8d7fa0a11fa,Aplikasi mobile banking paling bobrok yg pernah ada klo bukan karena payroll di bank DKI g bkalan mau buka rekening dsini. gunanya mobile banking tuh utk memudahkan dalam ber transaksi lah ini malah eror smpe sebulan.,aplikasi mobile banking bobrok klo bukan payroll bank dki tidak bkalan buka rekening dsini gunanya mobile banking tuh memudahkan ber transaksi error smpe sebulan,1,2025,train,-12.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,memudahkan,high
1193,16fc0172-92af-42a3-b24f-e08b2685d76b,Mantaps,mantaps,4,2023,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,mantap,high
1202,c3dcf5cd-2278-4d56-8570-0197544b8cd5,Kerenn👍👍,kerenn,5,2022,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,keren,high
1214,fe94949f-bb4f-4c7f-8ad0-6c8e02c6d75f,"Jakone best bangeett lahh,bayar ini itu gampang,ga pake ribet, praktis bangeett. Moga makin maju yaa aplikasi nyaa",jakone best bangeett lahh bayar gampang tidak pakai ribet praktis bangeett moga maju yaa aplikasi nyaa,5,2023,train,-3.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,praktis,high
1245,5a602f3f-576b-4697-94ad-e973858d49ed,"Apknya bangus banget, memudahkan kita untuk melakukan transaksi tanpa harus ribet ribet buat keluar rumahh ga nyesel deh pake apk ini.",apknya bangus banget memudahkan kita melakukan transaksi ribet ribet keluar rumahh tidak nyesel deh pakai aplikasi,5,2023,train,-7.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,memudahkan,high
1330,38ac539d-15b9-4329-9385-0fccf0eba85a,Jakone Mobile apk yang bagus untuk kamu coba,jakone mobile aplikasi bagus coba,5,2023,test,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,bagus,high
1335,7bf3559e-2573-4be3-9a24-00bb4226acdb,terbaikk,terbaikk,5,2025,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,terbaik,high
1344,214631d9-d1bc-4177-b1a1-7b6c9ab39c17,"Aplikasinya keren, tampilan UI nya nyaman dilihat mata, dapat berfungsi dengan baik, keep it up! ✨️",aplikasi keren tampilan ui nya nyaman dilihat mata berfungsi keep it up,5,2022,train,-1.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,nyaman,high
1366,b961a620-b3a2-4b64-8dd6-8480021129f4,Keren,keren,5,2022,validation,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,keren,high
1368,3bf8f298-b24d-4932-9046-1022fefd6f9c,"Aplikasinya keren banget, fitur fitur tambahannya sangat membantu banget. Contohnya aplikasi ini bisa buat bayar tagihan pln, beli pulsa dan lain sebagainya. Seneng deh sama aplikasi ini😍😍",aplikasi keren banget fitur fitur tambahannya membantu banget contohnya aplikasi bisa bayar tagihan pln beli pulsa sebagainya seneng deh aplikasi,5,2022,train,-1.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,sangat membantu,high
1422,ac4e4d15-b8ee-46c9-abd0-ae191082915d,Keren masih optimal,keren optimal,5,2023,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,keren,high
1461,49da7791-3d2b-4421-be5f-f9d1384f387b,"Haduuh abis update malah ga bisa dipakai, selalu jaringan internet tidak stabil padahal buka aplikasi mobile banking lain lancar bahkan streaming pun lancar, hanya jakone ini yang tidak bisa dibuka, tolong lah bagian IT nya apakah bisa kerja??? jangan hanya menjawab ""mhn maaf atas ketidaknyamanan dan minta detail permasalahan, harusnya anda yg lebih paham apa permasalahan nya",haduuh abis update tidak bisa dipakai jaringan internet tidak stabil padahal buka aplikasi mobile banking lancar bahkan streaming lancar jakone tidak bisa dibuka tolong it nya apakah bisa kerja jangan menjawab mhn maaf atas ketidaknyamanan minta detail permasalahan harusnya lebih paham permasalahan nya,1,2023,train,-2.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,nyaman,high
1487,7f86b668-8546-4404-a068-fccefff069d7,Aplikasi multi fungsi dan mudah digunakan,aplikasi multi fungsi mudah digunakan,5,2024,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,mudah digunakan,high
1491,4bf4b8ed-fa9a-475d-a8f7-7bc3db05eefd,"Apk yang rekomendasi bnget,reward 600rb saat mendaptar ada banyak benefit gratisss Mantappp",aplikasi rekomendasi bnget reward 600rb mendaptar benefit gratisss mantappp,5,2022,train,-4.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,mantap,high
1509,55aa832a-698f-4dcd-b063-90ee79e537bc,Sangattt baguss,sangattt baguss,5,2023,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,bagus,high
1533,3dcb8aa4-fa63-49b2-851c-f00e11205144,Aplikasi semakin menarik dan inovatif.Keren Bank DKI,aplikasi menarik inovatif keren bank dki,5,2022,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,keren,high
1595,8cedaaff-080f-4c2e-adcd-a361cbff970a,Aplikasinya fresh banget tampilannya memudahkan user baru untuk menggunakannya,aplikasi fresh banget tampilannya memudahkan user menggunakannya,5,2022,train,-2.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,memudahkan,high
1601,c70e5317-e7d7-48cb-81a1-b5c077215de7,"Jujur sangat kecewa sama apk nya, klo emang blm layak harus nya di kajian ulang jgn membuat semua nasabah kecewa, tolong buat IT nya kerja yg bener jgn asal""an kalo mau bersaing sama bank"" lain, jgn jdi sampah gak berguna",jujur kecewa aplikasi nya klo emang belum layak nya kajian ulang jangan membuat nasabah kecewa tolong it nya kerja bener jangan asal an bersaing bank jangan jdi sampah tidak berguna,1,2024,test,-11.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,berguna,high
1602,eb59dfd5-c8e9-43ab-bbcb-8910500ef110,Sangat tidak recommended. Mending pakai Bank lain.,tidak recommended mending pakai bank,1,2023,train,-3.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,recommended,high
1608,e651262b-7ac2-4b77-9573-ff219afa3f3e,Aplikasi ini terlalu sering update tapi tambah lemot,aplikasi update tambah lambat,1,2023,train,0.0,netral,negatif,high_confidence_refinement,neutral_zero: negative phrase canceled to zero,lemot; lambat,high
