review,clean_review,current_label,lexicon_score,suggested_label,reason,evidence_pattern,confidence_level,category
Mohon diperbaiki sistemnya. Sering kali terjadu transaksi gagal tetapi saldo kepotong. Walapun pada akhirnya saldo kembali lagi. Tapi ini mengahbat aktivitas. Saya sudah 4 x kejadian transaksi gagal tapi saldo kepotong namun tidak masuk ke rekening tujuan . Walapun dlaam 1-2 hari saldo kembali. Terimakasih,mohon diperbaiki sistemnya terjadu transaksi gagal saldo kepotong walapun akhirnya saldo mengahbat aktivitas 4 x kejadian transaksi gagal saldo kepotong tidak masuk rekening tujuan walapun dlaam 1 2 hari saldo terimakasih,positif,16.0,negatif,negative_pattern: label conflicts with clear negative phrase,transaksi gagal,high,negative_pattern
Tiap buka apk kok lama bgt lodingnya Dan tiap mau transaksi selalu gagal Pokoknya lama di buka nya gak sat set Tolong di perbaiki agar setiap transaksi nyaman mudah dan simpel terima kasih,buka aplikasi kok banget lodingnya transaksi gagal pokoknya buka nya tidak sat set tolong perbaiki setiap transaksi nyaman mudah simpel terima kasih,positif,17.0,negatif,negative_pattern: label conflicts with clear negative phrase,transaksi gagal,high,negative_pattern
kacau saya top-up dana yang pertama gagal dan yang 2 berhasil. sedangkan yang gagal malah terpotong.. mana tanggungjawab anda! balikin uang saya secepatnya yang transaksi gagal tersebut,kacau top up dana pertama gagal 2 berhasil sedangkan gagal terpotong tanggungjawab balikin uang secepatnya transaksi gagal,positif,4.0,negatif,negative_pattern: label conflicts with clear negative phrase,transaksi gagal,high,negative_pattern
bener bener aplikasi perbankan yang paling buruk di bumi. kondisi lagi urgent pindah saldo dari jack one ke ewallet. transaksi gagal tapi saldo nya hilang. kalian semua kerja nya apa sampai transaksi kecil aja ga ada yg becus,bener bener aplikasi perbankan buruk bumi kondisi urgent pindah saldo jack one ewallet transaksi gagal saldo nya hilang kalian kerja nya transaksi tidak becus,positif,5.0,negatif,negative_pattern: label conflicts with clear negative phrase,transaksi gagal,high,negative_pattern
"Aplikasi nya perlu di perbarui sistem nya tolong y, saya sampe lapor ke bank 6 kali karena masalah transaksi yang super gaje. Saya transaksi top up e wallet tapi loading lama sekali setelah di tunggu biasanya keterangan transaksi gagal, setelah gagal saya cek di mutasi saldo saya tetap kepotong. Sudah 6 kali hal ini terjadi saya sampai bosan ke bank terus. Tolong diperbaiki sistem nya, saya sangat kecewa dengan pelayanan nya, padahal saya sudah pakai jackone dr SMA.",aplikasi nya perbarui sistem nya tolong y sampe lapor bank 6 masalah transaksi super gaje transaksi top up e wallet loading setelah tunggu biasanya keterangan transaksi gagal setelah gagal cek mutasi saldo kepotong 6 bosan bank tolong diperbaiki sistem nya kecewa pelayanan nya padahal pakai jackone sma,positif,3.0,negatif,negative_pattern: label conflicts with clear negative phrase,transaksi gagal,high,negative_pattern
"ini gimana bank DKI saya topup ke ewalet, saldo kepotong tapi uangnya belum masuk di ewalet DANA. tolong dong d perbaiki jangan kaya gini terus, kalo transaksi gagal saldo jangan d potong",gimana bank dki topup ewalet saldo kepotong uangnya belum masuk ewalet dana tolong d perbaiki jangan kaya gini transaksi gagal saldo jangan d potong,positif,4.0,negatif,negative_pattern: label conflicts with clear negative phrase,transaksi gagal,high,negative_pattern
"Kecewa sama layanan bifast jakmobile,transaksi gagal tapi saldo terpotong,parahnya LG TDK masuk kerening tujuan.",kecewa layanan bifast jakmobile transaksi gagal saldo terpotong parahnya lg tidak masuk kerening tujuan,netral,0.0,negatif,negative_pattern: label conflicts with clear negative phrase,transaksi gagal,high,negative_pattern
"sumpah gada solusi apa2 nih?! server offline terus gajelas, mau transaksi jadi gagal terussss dana udah ketarik",sumpah gada solusi apa2 nih server offline gajelas transaksi gagal terussss dana udah ketarik,positif,10.0,negatif,negative_pattern: label conflicts with clear negative phrase,transaksi gagal,high,negative_pattern
"ia salam gangguan jaringan lagi ia min..transaksi gagal terus tapi saldo sudah terpotong...jaringan muter"" tidak jelas berhasil apa tidak nya..tolong perbaiki dong jaringan servernya",salam gangguan jaringan min transaksi gagal saldo terpotong jaringan muter tidak jelas berhasil tidak nya tolong perbaiki jaringan servernya,positif,3.0,negatif,negative_pattern: label conflicts with clear negative phrase,transaksi gagal,high,negative_pattern
"sering kali transaksi gagal,tapi saldo berkurang..tolong IT nya dibenerin",transaksi gagal saldo berkurang tolong it nya dibenerin,positif,2.0,negatif,negative_pattern: label conflicts with clear negative phrase,transaksi gagal,high,negative_pattern
"Banyak transaksi yang gagal,",transaksi gagal,netral,0.0,negatif,negative_pattern: label conflicts with clear negative phrase,transaksi gagal,high,negative_pattern
"parah sih...kebiasaan banget setiap transaksi gagal saldo malah ikut terdebit..mending kalau saldo nya nyampe kerekening tujuan,saldo malah ngegantung..nunggu balik lagi ke rekening kitanya lama banget.. aneh banget ini bank sering banget terjadi hal seperti ini,,sangat merugikan nasabah",parah sih kebiasaan banget setiap transaksi gagal saldo ikut terdebit mending saldo nya nyampe kerekening tujuan saldo ngegantung nunggu balik rekening kitanya banget aneh banget bank banget merugikan nasabah,positif,10.0,negatif,negative_pattern: label conflicts with clear negative phrase,transaksi gagal,high,negative_pattern
"ini gmnaa ,pake qris transaksi gagal tp saldo ke potonggggg.",gmnaa pakai qris transaksi gagal saldo potonggggg,positif,2.0,negatif,negative_pattern: label conflicts with clear negative phrase,transaksi gagal,high,negative_pattern
"Transaksi gagal namun saldo terpotong, pengaduan ke CS/Call Centre sibuk.",transaksi gagal saldo terpotong pengaduan cs call centre sibuk,positif,3.0,negatif,negative_pattern: label conflicts with clear negative phrase,transaksi gagal,high,negative_pattern
"Transaksi gagal tapi saldo kepotong, sedangkan di bank tujuan transfer ga masuk saldonya, ini gimana si sekelas bank daerah mbanking nya begini.",transaksi gagal saldo kepotong sedangkan bank tujuan transfer tidak masuk saldonya gimana si sekelas bank daerah mbanking nya,netral,0.0,negatif,negative_pattern: label conflicts with clear negative phrase,transaksi gagal,high,negative_pattern
Hai Bank DKI. Kenapa sih saya tidak bisa tarik tunai tanpa kartu di ATM? Padahal internet saya aktif tapi selalu transaksi gagal dari mesin ATM nya. Tolong dibantu sebab kadang saya lupa bawa kartu🙏,hai bank dki kenapa sih tidak bisa tarik tunai kartu atm padahal internet aktif transaksi gagal mesin atm nya tolong dibantu kadang lupa bawa kartu,positif,15.0,negatif,negative_pattern: label conflicts with clear negative phrase,transaksi gagal,high,negative_pattern
"setiap transfer gagal transaksi ,saldo hilang payah nih dki nunggu 2hari baru balik kocak !!!!",setiap transfer gagal transaksi saldo hilang payah nih dki nunggu 2hari balik kocak,positif,1.0,negatif,negative_pattern: label conflicts with clear negative phrase,transfer gagal,high,negative_pattern
2x gagal tarik tunai saldo sudah ke potong dan uangny hilang bgt aja hrs uang kembali ke saldony...tiap transfer selalu gagal.....,2x gagal tarik tunai saldo potong uangny hilang banget hrs uang saldony transfer gagal,positif,1.0,negatif,negative_pattern: label conflicts with clear negative phrase,transfer gagal,high,negative_pattern
tolong dong perbaiki lagi lah masa top up malem sekitar jam 8 malam saldo hilang tanpa masuk ke e-wallet,tolong perbaiki masa top up malem jam 8 malam saldo hilang masuk e wallet,positif,8.0,negatif,negative_pattern: label conflicts with clear negative phrase,saldo hilang,high,negative_pattern
"4x transaksi galgal,tapi saldo hilang terpotong 4 x juga aduhhhh",4x transaksi galgal saldo hilang terpotong 4 x aduhhhh,positif,6.0,negatif,negative_pattern: label conflicts with clear negative phrase,saldo hilang,high,negative_pattern
"saldo tiba2 ngilang,dalam proses tp lama sekali,saldo hilang dluan,gimana itu",saldo tiba2 ngilang proses saldo hilang dluan gimana,positif,5.0,negatif,negative_pattern: label conflicts with clear negative phrase,saldo hilang,high,negative_pattern
"Pelayanan nya lama banget dalam mengatasi masalah klien yang saldo tidak masuk ke emoney tapi saldo jakone sudah kepotong, masa harus nunggu 10 hari kerja duluh",pelayanan nya banget mengatasi masalah klien saldo tidak masuk emoney saldo jakone kepotong masa nunggu 10 hari kerja duluh,positif,9.0,negatif,negative_pattern: label conflicts with clear negative phrase,saldo tidak masuk,high,negative_pattern
"Tolong segera perbaikan systemnya diselesaikan ,tidak bisa transaksi apapun,payah!!!!",tolong segera perbaikan systemnya diselesaikan tidak bisa transaksi apapun payah,positif,8.0,negatif,negative_pattern: label conflicts with clear negative phrase,tidak bisa transaksi,high,negative_pattern
"perbank paling kacau,udah beberapa hari ini tidak bisa transaksi dan transfer antar bank !!! tolong d perbaiki lah !!!",perbank kacau udah beberapa hari tidak bisa transaksi transfer antar bank tolong d perbaiki,positif,2.0,negatif,negative_pattern: label conflicts with clear negative phrase,tidak bisa transaksi,high,negative_pattern
Maintence kok lebih dari 7 hari. Menyusahkan banyak orang gabisa transaksi di libur lebaran,maintence kok lebih 7 hari menyusahkan orang tidak bisa transaksi libur lebaran,positif,7.0,negatif,negative_pattern: label conflicts with clear negative phrase,tidak bisa transaksi,high,negative_pattern
dari sebelum dan selama libur lebaran seminggu sudah ga bisa transaksi transfer antar bank ga bisa isi shoppe pay payah banget Bank DKI,selama libur lebaran seminggu tidak bisa transaksi transfer antar bank tidak bisa isi shoppe pay payah banget bank dki,netral,0.0,negatif,negative_pattern: label conflicts with clear negative phrase,tidak bisa transaksi,high,negative_pattern
"tolong dong di perbaiki lagi sistemnya setiap jam 3-5 suka eror gabisa transaksi mau di atm atau di m-banking, susah banget kalo mau transaksi 🤦",tolong perbaiki sistemnya setiap jam 3 5 suka error tidak bisa transaksi atm m banking susah banget transaksi,positif,2.0,negatif,negative_pattern: label conflicts with clear negative phrase,tidak bisa transaksi,high,negative_pattern
"Aneh banget, sinyal bagus tapi ga bisa transaksi....",aneh banget sinyal bagus tidak bisa transaksi,positif,6.0,negatif,negative_pattern: label conflicts with clear negative phrase,tidak bisa transaksi,high,negative_pattern
masa aplikasinya ga bisa untuk transaksi qris QR. ga bisa transfer ke bank lain juga.. kadang buat transaksi qris scan biasa aja juga ga bisa. kalo ada saldo mengendap kan lumayan bisa buat belanja keperluan lainnya. aneh banget. masa m-banking kayak gitu,masa aplikasi tidak bisa transaksi qris qr tidak bisa transfer bank kadang transaksi qris scan tidak bisa saldo mengendap lumayan bisa belanja keperluan lainnya aneh banget masa m banking kayak gitu,positif,4.0,negatif,negative_pattern: label conflicts with clear negative phrase,tidak bisa transaksi,high,negative_pattern
"Kapan selesainya ini perbaikan, udah beberapa hari gak bisa transaksi mesin EDC DKI, menyulitkan banget orang. Saya sangat dirugikan sekali ini dengan pelayanan yg seperti ini. Gk profesional. 😡🤬",kapan selesainya perbaikan udah beberapa hari tidak bisa transaksi mesin edc dki menyulitkan banget orang dirugikan pelayanan tidak profesional,positif,1.0,negatif,negative_pattern: label conflicts with clear negative phrase,tidak bisa transaksi,high,negative_pattern
Ini kenapa tambah update nggak bisa transaksi ?,kenapa tambah update tidak bisa transaksi,positif,2.0,negatif,negative_pattern: label conflicts with clear negative phrase,tidak bisa transaksi,high,negative_pattern
"aplikasi m banking paling kacau,lagi musim lebaran transaksi lg rame2 a malah gak bisa transaksi.mending BCA aja",aplikasi m banking kacau musim lebaran transaksi lg rame2 a tidak bisa transaksi mending bca,positif,1.0,negatif,negative_pattern: label conflicts with clear negative phrase,tidak bisa transaksi,high,negative_pattern
"Rekomendasi banget buat aplikasi ini tanpa bawa uang cash cuma modal hp tanpa ribet bisa beli apapun sesuka hati dengan aplikasi inii,terima kasiiiih",rekomendasi banget aplikasi bawa uang cash modal hp ribet bisa beli apapun sesuka hati aplikasi inii terima kasiiiih,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,ribet,high,neutral_zero
buruk banget Mauk ke aplikasih tulisan perikasn koneksi internet pake wifi kaya gth pake Kouta pribadi juga hadeeeh,buruk banget mauk aplikasih tulisan perikasn koneksi internet pakai wifi kaya gth pakai kouta pribadi hadeeeh,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,buruk,high,neutral_zero
"Payah, Pembenahan nya terlalu lama",payah pembenahan nya,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,payah,high,neutral_zero
Aplikasi m banking super lemot,aplikasi m banking super lambat,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,lemot; lambat,high,neutral_zero
"Parah sangat mengecewakan, selama libur lebaran sampai hr ini selesai cuti bersama lebaran pun masih maintenance, banyak menu hilang seperti trf bi fast, ewallet dana ovo gopay shopee, bahkan qris pun selalu gagal. tarik tunai di atm bersama jg tidak bisa. hallooo parah banget, sudah lebih dari seminggu lho ini...",parah mengecewakan selama libur lebaran hr selesai cuti lebaran maintenance menu hilang trf bi fast ewallet dana ovo gopay shopee bahkan qris gagal tarik tunai atm jg tidak bisa hallooo parah banget lebih seminggu lho,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,parah,high,neutral_zero
makin kesini makin kesana...payah,kesini kesana payah,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,payah,high,neutral_zero
"mbanking errorr, sedang dibutuhkan tetapi offline berhari2",mbanking errorr dibutuhkan offline berhari2,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,error,high,neutral_zero
"Aplikasi sangat lambat padahal internet normal, untuk verifikasi wajah selalu lama respon nya",aplikasi lambat padahal internet normal verifikasi wajah respon nya,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,lambat,high,neutral_zero
Aplikasi ini terlalu sering update tapi tambah lemot,aplikasi update tambah lambat,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,lemot; lambat,high,neutral_zero
Kebanyakan update Suka eror,kebanyakan update suka error,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,error; eror,high,neutral_zero
Versi terbaru malah makin lemot parah,versi terbaru lambat parah,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,lemot; lambat; parah,high,neutral_zero
"Aplikasi nya parah selalu aja loading, mau transaksi aja nunggu lama banget dan itu juga klo kebuka. Tolong di perbaiki kembali",aplikasi nya parah loading transaksi nunggu banget klo kebuka tolong perbaiki,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,parah,high,neutral_zero
payah tidak bisa top up gopay dan transfer antar bank,payah tidak bisa top up gopay transfer antar bank,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,payah,high,neutral_zero
beli pulsa 200 rb. Saldo udh kepotong tp pulsanya gak masuk. payah bgt ban dki,beli pulsa 200 rb saldo kepotong pulsanya tidak masuk payah banget ban dki,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,payah,high,neutral_zero
Sering trouble mbankingnya...mau transfer ke dki dari bank lain selalu susah masuknya..harus mengulang terus ..tolong sistemnya d perbaiki,trouble mbankingnya transfer dki bank susah masuknya mengulang tolong sistemnya d perbaiki,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,susah masuk,high,neutral_zero
Lemot buka aplikasinya,lambat buka aplikasi,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,lemot; lambat,high,neutral_zero
"Alasan perbaikan system, system yg buat manusia, dari dulu klo ada error alasan system terus. giliran nawarin KMG offline/online gencar banget tiap hari ada aja yg WA nawarin KMG, giliran ada error, dah 2 pekan ini loh...",alasan perbaikan system system manusia klo error alasan system giliran nawarin kmg offline online gencar banget hari wa nawarin kmg giliran error dah 2 pekan loh,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,error,high,neutral_zero
"Aplikasi nya mudah di gunakan, cepet juga kalo mau buka rekening baru. Dan gak lemotttt...",aplikasi nya mudah gunakan cepet buka rekening tidak lemotttt,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,lemot,high,neutral_zero
"Parah, transaksi lambat sekali..",parah transaksi lambat,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,lambat; parah,high,neutral_zero
mbanking terburuk sepanjang masa,mbanking terburuk sepanjang masa,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,buruk,high,neutral_zero
knpa suka eror mulu,knpa suka error mulu,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,error; eror,high,neutral_zero
Makin kesini makin payah,kesini payah,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,payah,high,neutral_zero
lemottt,lemottt,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,lemot,high,neutral_zero
lemottttttttttttty,lemottttttttttttty,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,lemot,high,neutral_zero
kebanyakan oflline nya .. aplikasinya bobrok... penanganan yg lambat.. nyusahin pengguna nya untuk transaksi..,kebanyakan oflline nya aplikasi bobrok penanganan lambat nyusahin pengguna nya transaksi,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,lambat,high,neutral_zero
Tolong dong ditingkatkan lagi payah banget aplikasinya . Permudah dong contoh BCA mobile,tolong ditingkatkan payah banget aplikasi permudah contoh bca mobile,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,payah,high,neutral_zero
"Apk yang sangat membatu , bayar pln iai paket data dengan mudah , deposit pun nggx ribet ono ini .",aplikasi membatu bayar pln iai paket data mudah deposit nggx ribet ono,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,ribet,high,neutral_zero
Jakone yg Baru Tambah lemot . Login nya lama bngt parah abis,jakone tambah lambat login nya bngt parah abis,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,lemot; lambat; parah,high,neutral_zero
"tolong lah perbaikin, masa gada pilihan buat transfer ke bank lain. gada fitur buat transfer ke e-wallet. bayar pake qris juga gabisa digunain. jelek banget",tolong perbaikin masa gada pilihan transfer bank gada fitur transfer e wallet bayar pakai qris tidak bisa digunain jelek banget,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,jelek,high,neutral_zero
Pakek apk ini seneng bgt soalnya gampang mau bayat apa aja disini bisa ga pakek ribett,pakek aplikasi seneng banget soalnya gampang bayat disini bisa tidak pakek ribett,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,ribet,high,neutral_zero
kecewa berat,kecewa berat,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,kecewa,high,neutral_zero
Ribet banget sih.. Udah punya kartu ATM nya malah ngga bisa daftar di m banking. Tetep harus ke bank! Trus gunanya daftar online apa??,ribet banget sih udah punya kartu atm nya ngga bisa daftar m banking tetep bank gunanya daftar online,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,ribet,high,neutral_zero
apakah jakone lg eror ..??? ko gx bisa tf ke bank lain ya dr pagi ..??? sampe skrng,apakah jakone lg error ko gx bisa transfer bank ya pagi sampe skrng,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,error; eror,high,neutral_zero
Log out sendiri payah,log out payah,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,payah,high,neutral_zero
Sering erorr Jak one nya,erorr jak one nya,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,eror,high,neutral_zero
kebanyakan nyangkut kalo dari e-commerce kirim dana ataupun bank lagi ke jakone / Bank Jakarta .. aplikasi ribet,kebanyakan nyangkut e commerce kirim dana ataupun bank jakone bank jakarta aplikasi ribet,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,ribet,high,neutral_zero
parahh,parahh,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,parah,high,neutral_zero
"beli pulsa dan bayar tagihan disini mudah banget dan g pakai ribet ternyata, cukup membantu.",beli pulsa bayar tagihan disini mudah banget tidak pakai ribet ternyata membantu,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,ribet,high,neutral_zero
"ternyata GK seribet itu buat registrasi sendiri disini,lumayan mudah dan cukup dimengerti",ternyata tidak seribet registrasi disini lumayan mudah dimengerti,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,ribet,high,neutral_zero
"Lebih suka yg lama, yg ini lebih buruk",lebih suka lebih buruk,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,buruk,high,neutral_zero
Lemot banget perbaiki untuk menjadikan aplikasi yg lebih baik biar bisa bersaing dengan yang lainnya,lambat banget perbaiki menjadikan aplikasi lebih biar bisa bersaing lainnya,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,lemot; lambat,high,neutral_zero
"registrasinya gampang, gak ribet kayak yg lain",registrasinya gampang tidak ribet kayak,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,ribet,high,neutral_zero
mobile banking paling burukkkkkkk,mobile banking burukkkkkkk,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,buruk,high,neutral_zero
Aplikasi lemot banget asli,aplikasi lambat banget asli,netral,0.0,negatif,neutral_zero: negative phrase canceled to zero,lemot; lambat,high,neutral_zero
