pattern,total_matches,label_positif_count,label_negatif_count,label_netral_count,suspect_non_positive_count,example_correct_positive,example_suspect_non_positive,candidate_action
lancar,367,281,77,9,86,review=Naman dan lancar memakai JakOne Mobile. Banyak manfaatnya... transaksi apapun mudah praktis. Aplikasinya Oke banget gak lemot. | clean_review=naman lancar memakai jakone mobile manfaatnya transaksi apapun mudah praktis aplikasi oke banget tidak lambat | lexicon_score=12.0 | label=positif,review=Tolong perbaiki lagi aplikasi ini saya mau masukin tabungan tapi verifikasi kode smsnya kok ngga masuk masuk padahal internet saya lancar pulsa banyak tapi ga masuk masuk kodenya | clean_review=tolong perbaiki aplikasi masukin tabungan verifikasi kode smsnya kok ngga masuk masuk padahal internet lancar pulsa tidak masuk masuk kodenya | lexicon_score=-13.0 | label=negatif,review non-positive labels; high-confidence correction if phrase is standalone positive
nyaman,212,175,33,4,37,"review=JakOne Mobile tu aplikasi perbankan yang praktis dan user-friendly. proses pendaftarannya mudah dan cepet, sehingga ngga makan banyak waktu. Tampilan aplikasinya simpel namun modern, membuat navigasi jadi lebih nyaman ba | clean_review=jakone mobile tu aplikasi perbankan praktis user friendly proses pendaftarannya mudah cepet sehingga ngga makan tampilan aplikasi simpel modern membuat navigasi lebih nyaman bahkan pengguna | lexicon_score=16.0 | label=positif","review=Alpikasi kurang nyaman sekarang alpikasinya tambah jelek susah digunakan,susah login | clean_review=alpikasi kurang nyaman alpikasinya tambah jelek susah digunakan susah login | lexicon_score=-15.0 | label=negatif",review non-positive labels; high-confidence correction if phrase is standalone positive
bagus,2018,1438,490,90,580,"review=Bagus, sangat praktis digunakan sehar-hari... Sipp pokonya. Pertahankan terus kualitasnya JakOne! | clean_review=bagus praktis digunakan sehar hari sipp pokonya pertahankan kualitasnya jakone | lexicon_score=5.0 | label=positif",review=Aplikasi bagus banget untuk pembelian pulsa dan scan Qris | clean_review=aplikasi bagus banget pembelian pulsa scan qris | lexicon_score=-4.0 | label=negatif,review non-positive labels; high-confidence correction if phrase is standalone positive
mantap,783,705,38,40,78,"review=Aplikasinya mantap Awalnya mau nabung di sini, ternyata ada pilihan deposito juga, programnya menarik. Mantapps JakOne. | clean_review=aplikasi mantap awalnya nabung ternyata pilihan deposito programnya menarik mantapps jakone | lexicon_score=13.0 | label=positif",review=Mantappssssss | clean_review=mantappssssss | lexicon_score=0.0 | label=netral,review non-positive labels; high-confidence correction if phrase is standalone positive
keren,1103,833,162,108,270,"review=Aplikasinya keren banget dan mudah digunakan, banyak fitur yg membantu, transaksi nya juga mudah sekali dan responsif | clean_review=aplikasi keren banget mudah digunakan fitur membantu transaksi nya mudah responsif | lexicon_score=13.0 | label=positif","review=Tampilan baru nya keren , aplikasi jak one juga sangat berguna banget karenakan banyak fitur seperti Bayar pulsa, listrik dan lain lain nya dan gak perlu ribet | clean_review=tampilan nya keren aplikasi jak one berguna banget karenakan fitur bayar pulsa listrik nya tidak ribet | lexicon_score=0.0 | label=netral",review non-positive labels; high-confidence correction if phrase is standalone positive
cepat,797,720,64,13,77,review=Mantap banget pembukaaan rekening nya mudah dan cepat | clean_review=mantap banget pembukaaan rekening nya mudah cepat | lexicon_score=13.0 | label=positif,"review=Makin menyulitkan saja, data semua sesuai tapi gak bisa masuk juga.. Bank lain update cepat gak pakai ribet.. Ayoo dong berubah | clean_review=menyulitkan data sesuai tidak bisa masuk bank update cepat tidak pakai ribet ayoo berubah | lexicon_score=-14.0 | label=negatif",review non-positive labels; high-confidence correction if phrase is standalone positive
responsif,49,38,10,1,11,"review=Aplikasinya keren banget dan mudah digunakan, banyak fitur yg membantu, transaksi nya juga mudah sekali dan responsif | clean_review=aplikasi keren banget mudah digunakan fitur membantu transaksi nya mudah responsif | lexicon_score=13.0 | label=positif","review=aplikasi busuk banget, per hari 30 Maret 2025 transfer antar bank gaada live. chat call center juga gaada yang nyambungin, awalnya ditunggu 10 menit an karena kata bot-nya bakal di sambungkan eh ternyata sampe 5 jam atau | clean_review=aplikasi busuk banget hari 30 maret 2025 transfer antar bank gaada live chat call center gaada nyambungin awalnya ditunggu 10 menit an bot nya sambungkan eh ternyata sampe 5 jam gaada admin nyambung minta pelayanan dm in | lexicon_score=-34.0 | label=negatif",review non-positive labels; high-confidence correction if phrase is standalone positive
puas,70,55,12,3,15,review=Jakone Mobile aplikasi sangat bagus keren say sangat puas dengan aplikasi ini terimakasih | clean_review=jakone mobile aplikasi bagus keren say puas aplikasi terimakasih | lexicon_score=3.0 | label=positif,"review=Sejak puasa tidak bisa transaksi mbanking antar bank, Semalam sampai keliling cari ATM akhirnya trf ke bank lain jam 23.05 Struk keluar tapi sampai pagi ini uang tidak diterima bank penerima Ada apa dengan bank DKI,harus | clean_review=puasa tidak bisa transaksi mbanking antar bank semalam keliling cari atm akhirnya trf bank jam 23 05 struk keluar pagi uang tidak diterima bank penerima bank dki harusnya kebanggaan bank warga dki kota kenapa tidak lebih | lexicon_score=-16.0 | label=negatif",review non-positive labels; high-confidence correction if phrase is standalone positive
recommended,113,74,31,8,39,review=JakOne sangat recommended bagi siswa dan mahasiswa untuk menabung???????? | clean_review=jakone recommended siswa mahasiswa menabung | lexicon_score=7.0 | label=positif,"review=Aplikasi nya sangat bagus sekali sangat mudah digunakan , untuk pemula fitur nya juga tidak membingungkan sangat recommended sekali | clean_review=aplikasi nya bagus mudah digunakan pemula fitur nya tidak membingungkan recommended | lexicon_score=-3.0 | label=negatif",review non-positive labels; high-confidence correction if phrase is standalone positive
memudahkan,553,478,63,12,75,"review=Aplikasi ini memudahkan untuk melakukan pembayaran dengan melakukan scanning pada QR, top banget pokonyaa, jangan lupa selalu gunakan jakone | clean_review=aplikasi memudahkan melakukan pembayaran melakukan scanning qr top banget pokonyaa jangan lupa gunakan jakone | lexicon_score=1.0 | label=positif","review=aplikasi yg memundahkan dalam urusan bayar"" dan pembelian seperti pulsa dan kuota sangat amat mudah. terutama memudahkan dalam membayar seperti tagihan air, listrik dll. tanpa ribet dan tentunya satset sekali | clean_review=aplikasi memundahkan urusan bayar pembelian pulsa kuota amat mudah terutama memudahkan membayar tagihan air listrik dll ribet tentunya satset | lexicon_score=-1.0 | label=negatif",review non-positive labels; high-confidence correction if phrase is standalone positive
berguna,199,150,45,4,49,"review=Aplikasi JakOne sangat berguna banget bagi saya untuk memudahkan transaksi pulsa dan lain lain,fitur fitur nya pun lengkap mantap | clean_review=aplikasi jakone berguna banget memudahkan transaksi pulsa fitur fitur nya lengkap mantap | lexicon_score=13.0 | label=positif","review=Tampilan baru nya keren , aplikasi jak one juga sangat berguna banget karenakan banyak fitur seperti Bayar pulsa, listrik dan lain lain nya dan gak perlu ribet | clean_review=tampilan nya keren aplikasi jak one berguna banget karenakan fitur bayar pulsa listrik nya tidak ribet | lexicon_score=0.0 | label=netral",review non-positive labels; high-confidence correction if phrase is standalone positive
terbaik,198,181,13,4,17,review=Bank terbaik untuk kami | clean_review=bank terbaik | lexicon_score=5.0 | label=positif,review=Aplikasi ini sangat banyak kegunaannya bisa beli pulsa pokoknya terbaikk🥰🥰 | clean_review=aplikasi kegunaannya bisa beli pulsa pokoknya terbaikk | lexicon_score=-8.0 | label=negatif,review non-positive labels; high-confidence correction if phrase is standalone positive
