review,label,split_set,review_id,clean_review,rating,review_date,app_version,thumbs_up_count,year,lexicon_score_v3,label_v3
aplikasi primitif balik zaman batu aktivasi lambat giliran lancar data udah bener eh pas langkah masukin kode otp tidak bisa padahal kodenya diterima sms gimana nasabah nyimpen uang disini uang turun langsung dikuras setor bank lebih ngasih kemudahan akses nasabah soalnya masalah uang agak sensitif orang butuh tidak bisa diakses kapanpun mending cari bank ngasih kemudahan akses,positif,train,72803ee2-2ab3-497c-959f-4fed916dbb6f,aplikasi primitif balik zaman batu aktivasi lambat giliran lancar data udah bener eh pas langkah masukin kode otp tidak bisa padahal kodenya diterima sms gimana nasabah nyimpen uang disini uang turun langsung dikuras setor bank lebih ngasih kemudahan akses nasabah soalnya masalah uang agak sensitif orang butuh tidak bisa diakses kapanpun mending cari bank ngasih kemudahan akses,1,2026-03-13 08:42:33,,0,2026,1.0,positif
tampilan keren fiturnya mudah nasabah transaksi wow sue,positif,train,c8b50556-3615-4246-a9c1-c321c060b6bc,tampilan keren fiturnya mudah nasabah transaksi wow sue,5,2022-09-10 12:44:37,1.0.1,0,2022,1.8,positif
terimakasih jakone mobile menjadi lebih mudah bertransaksi,positif,train,ffd63e71-6872-418f-9e17-97d69f4da4f8,terimakasih jakone mobile menjadi lebih mudah bertransaksi,5,2024-06-10 08:03:02,2.12.0,0,2024,2.4,positif
recomended,netral,val,54b51720-26d9-4e88-962b-1d653ea09a8d,recomended,5,2024-02-26 21:25:47,2.9.0,0,2024,0.0,netral
tidak bisa transfer kemana,negatif,train,84e6f355-1c43-42d3-adfd-5d5f47efcc91,tidak bisa transfer kemana,1,2025-07-02 21:32:38,2.17.1,0,2025,-1.0,negatif
keren banget bisa transaksi online mudah bagus banget bisa transaksi non tunai mudah pakai jakone mobile the best,positif,train,8f72b4f5-baab-4bd2-8882-b11595e9d8f7,keren banget bisa transaksi online mudah bagus banget bisa transaksi non tunai mudah pakai jakone mobile the best,5,2022-11-21 17:11:21,,0,2022,4.8,positif
aplikasi nya membantu digunakan sehari hari jg praktis aplikasi aman digunakan,positif,test,d3fd4aba-cbd6-4651-b0fc-119a0e1b37c5,aplikasi nya membantu digunakan sehari hari jg praktis aplikasi aman digunakan,5,2024-09-29 16:46:38,2.14.0,0,2024,2.2,positif
tau ratingnya cuman dibawah 4 verifikasi ribet photo ktp tidak bisa arti kode nya kasih tau user tidak tau nyarinya dimana,negatif,train,bfe45637-0eb0-43e8-88d6-3bb579aa9cf7,tau ratingnya cuman dibawah 4 verifikasi ribet photo ktp tidak bisa arti kode nya kasih tau user tidak tau nyarinya dimana,1,2025-03-10 05:22:09,2.14.0,0,2025,-2.0,negatif
aplikasi tidak bisa kebuka tolong perbaiki ya,positif,train,55775e58-646c-4b2f-804f-6f92f8b6ea00,aplikasi tidak bisa kebuka tolong perbaiki ya,1,2026-03-01 12:17:52,2.18.0,0,2026,0.2,positif
jakone mobil terbaru muter ja tidak selancar jakone sebelumnya tolong d perbaiki evaluasi biar lancaaar kepuasan konsumen prioritas,positif,train,b80571a0-c06d-45e5-aa7f-eb23ad131fae,jakone mobil terbaru muter ja tidak selancar jakone sebelumnya tolong d perbaiki evaluasi biar lancaaar kepuasan konsumen prioritas,1,2023-04-14 20:59:11,1.0.10,0,2023,0.8,positif
udah ngisi data bener pemberitahuan data daftar dijakone mobile tidak bisa dilanjutkan solusinya gmana ya,positif,train,1a98579c-eb6a-4b99-bff9-ada7608f9449,udah ngisi data bener pemberitahuan data daftar dijakone mobile tidak bisa dilanjutkan solusinya gmana ya,1,2024-03-28 20:19:04,2.10.0,0,2024,0.8,positif
tidak kerjaan pakai ganti versi coba jelaskan kelebihan nya dmna gw rasain susah tuh heran buka user terkunci inovasi bikin mudah lebih mudah bukan sulit gw urgent pakai m banking tidak bisa nyusahin nasabah lu,positif,train,ea6b60ee-ca05-45a9-8322-2b309e32d630,tidak kerjaan pakai ganti versi coba jelaskan kelebihan nya dmna gw rasain susah tuh heran buka user terkunci inovasi bikin mudah lebih mudah bukan sulit gw urgent pakai m banking tidak bisa nyusahin nasabah lu,1,2023-06-11 22:50:15,2.0.0,0,2023,1.0,positif
cil,netral,train,51df0525-f11e-4ac5-baff-2691694c4164,cil,3,2023-04-24 19:08:58,,0,2023,0.0,netral
ko menu transfer beda bang tidak,negatif,train,d07646fa-6af1-49ac-825d-95191877ebfa,ko menu transfer beda bang tidak,5,2025-03-29 22:24:45,2.17.1,3,2025,-0.4,negatif
suka loading nya,positif,train,02c8f647-95cc-4664-b6a5-0869850794ab,suka loading nya,4,2023-02-23 23:00:48,1.0.7,0,2023,0.6,positif
transaksi merchant gagal saldonya terpotong bahkan jutaan bukan ratusan tlp cs disuruh tunggu 25x24jam bahkan ditunggu sampe tidak kejelasannya,negatif,train,7b1bfc49-9c0e-42e3-b604-84ac546b01b7,transaksi merchant gagal saldonya terpotong bahkan jutaan bukan ratusan tlp cs disuruh tunggu 25x24jam bahkan ditunggu sampe tidak kejelasannya,1,2024-11-03 07:30:49,2.14.0,0,2024,-1.7999999999999998,negatif
buset muter2,netral,train,c124446c-79b4-450d-8759-52e74b8a9fca,buset muter2,1,2023-01-16 06:40:00,1.0.5,0,2023,0.0,netral
benefit gratis aplikasi mendapatkan reward rp600 mendaftar,positif,test,6e1ebf69-d5bd-4447-aeda-15888c07dc43,benefit gratis aplikasi mendapatkan reward rp600 mendaftar,5,2022-10-11 15:51:25,1.0.2,0,2022,0.8,positif
aplikasi bagus digunakan,positif,test,22835beb-416c-4b49-b7f5-cc1d6f76a7cf,aplikasi bagus digunakan,5,2024-05-08 20:27:11,2.11.0,0,2024,0.6,positif
error mulu heran deh,negatif,train,d0336aad-2c57-40a5-9ede-405a9daeeae9,error mulu heran deh,3,2023-06-05 10:49:49,,0,2023,-0.3999999999999999,negatif
ya salam lambat banget jak one versi padahal quota full isi gopay saldo kepotong tidak masuk2 udah 3 hari,negatif,train,f3b07f3d-39e8-489e-ac83-7c4c153a1c9e,ya salam lambat banget jak one versi padahal quota full isi gopay saldo kepotong tidak masuk2 udah 3 hari,1,2023-06-16 18:34:52,2.0.0,0,2023,-1.0,negatif
aplikasi gajelas,netral,train,7f9f3c13-d718-4b8e-afca-d614a31af164,aplikasi gajelas,1,2025-10-12 14:01:06,2.17.1,0,2025,0.0,netral
aplikasi recommended banget tampilannya keren aplikasi jg punya fitur transaksi pembelian pembayaran online lengkap mudah digunakan cepat buruan download,positif,train,cd7de0e7-f29e-4084-aa10-3f1ea3a0c878,aplikasi recommended banget tampilannya keren aplikasi jg punya fitur transaksi pembelian pembayaran online lengkap mudah digunakan cepat buruan download,5,2022-09-06 09:59:59,1.0.1,0,2022,3.8,positif
kapan tidak bisa transfer transaksi lainnya harusnya perbankan profesional jangan kaya gini kecewa,negatif,train,4dee5f95-af4a-4b7e-b2e8-39ba259a667d,kapan tidak bisa transfer transaksi lainnya harusnya perbankan profesional jangan kaya gini kecewa,1,2025-04-07 17:43:14,2.17.1,0,2025,-1.8,negatif
bank tidak tidak bisa transfer bca,positif,test,83f292d7-87f4-45e4-bbd5-5f2a1760e99c,bank tidak tidak bisa transfer bca,1,2025-01-19 08:25:07,2.14.0,0,2025,1.0,positif
libur lebaran sampe hari libur senin kaga bisa parah parah,negatif,train,0be96ee2-bfc5-4f17-8696-4757b90b64ca,libur lebaran sampe hari libur senin kaga bisa parah parah,1,2025-04-07 15:19:00,2.17.1,0,2025,-0.8,negatif
knpa suka error mulu,negatif,train,d7ec1b40-4b23-413a-986c-9edaeced2469,knpa suka error mulu,4,2025-12-28 05:22:13,2.18.0,0,2025,-0.6000000000000001,negatif
aplikasi nya mudah digunakan apalagi fitur,positif,train,fdeae185-853d-4e82-8f42-9250f9a4d709,aplikasi nya mudah digunakan apalagi fitur,5,2022-09-10 09:26:33,1.0.1,0,2022,0.8,positif
aplikasi bagus tampilannya keren menunya mudah dipahami,positif,train,2e2a2d8c-d0f9-4bf8-9f2c-f45d68da129f,aplikasi bagus tampilannya keren menunya mudah dipahami,5,2022-09-06 11:06:43,1.0.1,0,2022,2.2,positif
jakone betulan bagus apps nya diawasi ojk aman mendanainya,positif,train,256d7dec-d276-4522-8566-24954f840f7c,jakone betulan bagus apps nya diawasi ojk aman mendanainya,5,2022-10-14 01:10:25,1.0.2,0,2022,1.2,positif
tidak berguna wilayah jakarta tidak simpan uang banyak2x d bank dki,negatif,val,c97829d7-730f-4308-ad40-8fb6b99be431,tidak berguna wilayah jakarta tidak simpan uang banyak2x d bank dki,1,2025-04-03 09:48:45,,0,2025,-0.2,negatif
aplikasi nya bagus banget nggk ribet gampang banget gunakan,positif,train,ebb1ce17-2d57-4861-9529-8a938126d7e9,aplikasi nya bagus banget nggk ribet gampang banget gunakan,5,2022-11-13 06:51:00,,0,2022,1.0,positif
aplikasi awasi ojk bisa mendanani hati tenang,positif,train,8eb5be01-282a-4e49-a758-deff118d67c7,aplikasi awasi ojk bisa mendanani hati tenang,5,2022-10-17 02:00:27,1.0.2,0,2022,1.4,positif
aplikasi aman dipakai sejauh belum error,positif,val,2c37fd02-7749-4d58-99db-cb6ff60bae35,aplikasi aman dipakai sejauh belum error,5,2025-10-21 10:37:03,2.17.1,0,2025,1.6,positif
punya no hpnya hilang gimana aktifasinya pakai no hp pas daftar terdaftar solusinya gimana nnt rate 5 bintang,positif,train,55f48834-3a11-4d18-9e0d-49945398c7a9,punya no hpnya hilang gimana aktifasinya pakai no hp pas daftar terdaftar solusinya gimana nnt rate 5 bintang,1,2026-02-02 17:42:37,2.18.0,2,2026,0.5999999999999999,positif
melakukan aktivasi kenapa tulisan kesalah 0019 mohon jawab,negatif,val,53b61111-230d-4cba-9d5b-6d9a6a69bde7,melakukan aktivasi kenapa tulisan kesalah 0019 mohon jawab,1,2023-01-14 13:05:35,1.0.5,0,2023,-1.0,negatif
delay bikin transaksi 2x,negatif,train,95c9ed85-42be-4614-8e6e-b52cd3630a7d,delay bikin transaksi 2x,2,2025-03-27 16:50:11,,0,2025,-0.6,negatif
sumpah kesel banget pas download dibuat kesal kode otp tidak muncul bahkan mencoba 4 setengah jam habiskan menunggu kode otp bahkan tidak masuk setelah percobaan tidak hasilnya ternyata tidak bisa mencoba yaap selanjutnya tidak bisa padahal ingin mengecek saldo jakcard,negatif,train,b0dbcceb-8b18-47ea-a4f2-cea538155d58,sumpah kesel banget pas download dibuat kesal kode otp tidak muncul bahkan mencoba 4 setengah jam habiskan menunggu kode otp bahkan tidak masuk setelah percobaan tidak hasilnya ternyata tidak bisa mencoba yaap selanjutnya tidak bisa padahal ingin mengecek saldo jakcard,1,2026-05-06 21:31:24,,0,2026,-2.4000000000000004,negatif
kode otp fak dikirim,positif,train,e575d5c2-1e19-4498-a13c-df4dd48ed712,kode otp fak dikirim,1,2024-06-13 18:35:14,2.12.0,0,2024,0.4,positif
aplikasi kaga jelas kemarin ngajuin kartu fisik kaga bisa aktivasi dateng nomor kartunya beda skrng cicilan rumah autodebit kepotong rekening status kpr msh blom masuk nih kaga beres jangan sampe kudu ngelapor kantor pusat dh soal beginian,positif,train,d4fe63a9-d902-4cd8-945d-f37b62d81c6e,aplikasi kaga jelas kemarin ngajuin kartu fisik kaga bisa aktivasi dateng nomor kartunya beda skrng cicilan rumah autodebit kepotong rekening status kpr msh blom masuk nih kaga beres jangan sampe kudu ngelapor kantor pusat dh soal beginian,3,2025-03-22 10:36:36,2.17.1,15,2025,0.4,positif
mantabb,netral,train,621bf8f1-99a5-4f1c-bf0a-5f826bc64460,mantabb,5,2024-04-16 10:54:19,2.10.0,0,2024,0.0,netral
aplikasi tidak bisa dibuka pdhl kuota jaringan lancar punya pulsa maaf 1,negatif,train,3a5b3e4a-01d4-4f9e-8afe-4233203287ab,aplikasi tidak bisa dibuka pdhl kuota jaringan lancar punya pulsa maaf 1,1,2024-05-08 11:55:38,2.11.0,0,2024,-1.6,negatif
pelayanan m banking buruk sy pakai,negatif,train,3cce47e4-ddb5-44ad-b076-eacf8b093a36,pelayanan m banking buruk sy pakai,1,2025-05-01 04:33:54,2.17.1,0,2025,-0.4,negatif
bagus,positif,train,32c09ddd-18f1-4847-ba86-547ee5313c6f,bagus,5,2023-06-09 00:24:17,1.0.12,0,2023,0.6,positif
menurut aplikasi mobile banking bagus mudah digunakan tampilannya menarik melakukan pembayaran memudahkan transaksi pembayaran dimanapun kapan good job bank dki semoga bisa membantu orang sukses,positif,test,e397e1c9-efe8-48ec-852c-0758085a9740,menurut aplikasi mobile banking bagus mudah digunakan tampilannya menarik melakukan pembayaran memudahkan transaksi pembayaran dimanapun kapan good job bank dki semoga bisa membantu orang sukses,5,2023-04-15 14:35:01,1.0.10,0,2023,5.4,positif
menurut gua aplikasi m banking recommended dah hari transaksi pakai aplikasi mudah cepat bagus banget fitur fitur aplikasi nya nyaman lengkap udah gitu mudah dimengerti fitur qris bro sis pokoknya gabakalan nyesel pakai aplikasi transfer dah,positif,train,ccce7a56-2aa1-4b7e-befb-e595699cf9aa,menurut gua aplikasi m banking recommended dah hari transaksi pakai aplikasi mudah cepat bagus banget fitur fitur aplikasi nya nyaman lengkap udah gitu mudah dimengerti fitur qris bro sis pokoknya gabakalan nyesel pakai aplikasi transfer dah,5,2023-04-24 09:18:40,1.0.10,1,2023,1.5999999999999996,positif
aplikasi bagus banget lengkap jugaa mudah pakai tidak bikin bingung gimana pakai nya recommended deh,positif,train,a5262213-eebf-4acb-b5cc-ed2bacd86d5e,aplikasi bagus banget lengkap jugaa mudah pakai tidak bikin bingung gimana pakai nya recommended deh,5,2024-10-20 10:46:17,2.14.0,0,2024,2.8,positif
keren aplikasi dn manfaat nya,positif,train,d0b5f781-fa46-4309-8ce1-899d28634f6f,keren aplikasi dn manfaat nya,5,2022-07-22 12:17:49,1.0.0,0,2022,1.8,positif
aplikasi ribettt,netral,train,6704a89f-a166-46c1-af79-55061f8476ee,aplikasi ribettt,1,2023-09-06 12:12:32,2.1.0,0,2023,0.0,netral
terimakasih,positif,train,bace0299-7c18-48f2-9c46-2fbc5523391d,terimakasih,5,2025-11-27 17:55:57,2.17.1,0,2025,1.0,positif
aplikasi ringan mudah dipakai transfer antarbank cepat cocok banget kebutuhan harian,positif,val,6dc48e27-023a-424c-a713-d7513de7843f,aplikasi ringan mudah dipakai transfer antarbank cepat cocok banget kebutuhan harian,5,2025-10-14 16:08:21,,0,2025,3.6000000000000005,positif
aplikasi jakone mobile mudah gunakan tidak repot kantor deposito bisa langsung aplikasi bayar bayar mudah fitur transaksi pembelian bayarnya aplikasi pokoknya aplikasi ngebantu banget usernya deh,positif,train,d13eb61b-ff25-437e-aba1-51fe08e41467,aplikasi jakone mobile mudah gunakan tidak repot kantor deposito bisa langsung aplikasi bayar bayar mudah fitur transaksi pembelian bayarnya aplikasi pokoknya aplikasi ngebantu banget usernya deh,5,2023-01-25 17:44:31,1.0.6,1,2023,2.8000000000000003,positif
menu bi fast kok ilang,negatif,train,9c108f1d-5cb8-46d6-b58e-7798ee68d685,menu bi fast kok ilang,5,2023-11-23 13:41:15,2.4.0,0,2023,-1.0,negatif
lebih mudaah d percaya memaluli syiber scurity indonesia menanam amaan uaang d dalaam bank dki,positif,test,b003bef8-a252-4eb7-b131-24c6baddef5a,lebih mudaah d percaya memaluli syiber scurity indonesia menanam amaan uaang d dalaam bank dki,5,2023-05-30 04:54:54,1.0.12,0,2023,0.4,positif
aplikasi bagus,positif,train,20481415-8777-4c46-978d-b353b7dce734,aplikasi bagus,5,2024-08-06 09:48:27,2.12.1,0,2024,0.6,positif
aplikasi keren gampang digunakan,positif,train,497bca4c-742b-4338-9d4b-d2d44cd3a5e5,aplikasi keren gampang digunakan,5,2022-07-22 06:23:07,1.0.0,1,2022,1.6,positif
tidak bisa login kesel padahal udah bener pass id nya apa2n,negatif,val,34abddf9-efe5-4060-aedd-7dfad0f6a344,tidak bisa login kesel padahal udah bener pass id nya apa2n,1,2022-11-08 18:41:53,1.0.3,1,2022,-1.4,negatif
kacau banget pas lebaran gini service ancur tidak bisa transfer rekening tidak bisa tarik tunai tidak bisa transfer gopay,negatif,train,db32b54c-c3d6-48ab-b60e-d8a512b8ad74,kacau banget pas lebaran gini service ancur tidak bisa transfer rekening tidak bisa tarik tunai tidak bisa transfer gopay,1,2025-03-31 17:17:27,2.17.1,5,2025,-0.7999999999999999,negatif
aduh aplikasi tidak selfi data error mulu teatm it nya sekolah tidak sih,negatif,train,eba857f4-250c-4b5b-be13-3037c68bce49,aduh aplikasi tidak selfi data error mulu teatm it nya sekolah tidak sih,1,2026-03-06 09:24:40,,0,2026,-1.2000000000000002,negatif
tampilan keren fiturnya bikin mudah nasabah transaksi nih aplikasi keren bersaing jak,positif,train,641f5337-dc4d-4720-b9d6-fef1c4cac24f,tampilan keren fiturnya bikin mudah nasabah transaksi nih aplikasi keren bersaing jak,5,2022-09-09 13:10:23,1.0.1,0,2022,2.6,positif
recommended porses transfed lancar gangguan langsunv gercd responsif bisa buka rekening,positif,train,2c59f453-a456-469d-a6b0-8c1211d2571e,recommended porses transfed lancar gangguan langsunv gercd responsif bisa buka rekening,5,2023-01-23 19:27:56,,0,2023,1.6,positif
apaan disitu hak orang ngambil susah kasian orang penggajian via bank dki gajinya tidak bisa ambil orang punya kebutuhan transaksi atm nya tidak d proses jakone nya fitur transaksi sesama bank dki tolong segara perbaiki,negatif,train,721516d7-c382-45e7-b0ce-9e7c7e665a0d,apaan disitu hak orang ngambil susah kasian orang penggajian via bank dki gajinya tidak bisa ambil orang punya kebutuhan transaksi atm nya tidak d proses jakone nya fitur transaksi sesama bank dki tolong segara perbaiki,1,2025-04-04 18:46:18,,0,2025,-2.8,negatif
aplikasi bagus user anti ribet aplikasi menyediakan layanan digital mudah akses,positif,train,2b9847bb-dfa8-4209-b034-23fab2aaac93,aplikasi bagus user anti ribet aplikasi menyediakan layanan digital mudah akses,5,2023-09-08 19:01:28,2.1.1,0,2023,1.2,positif
tidak bisa transfer bca padahal awalnya bisa uniknya cs bank dki nyuruh customer install flip padahal flip bermasalah direktur it nya sampe dipecat cuuuuyyuu,negatif,val,d358822f-3d76-46d4-87c6-3b0767af69c6,tidak bisa transfer bca padahal awalnya bisa uniknya cs bank dki nyuruh customer install flip padahal flip bermasalah direktur it nya sampe dipecat cuuuuyyuu,1,2025-04-10 19:42:24,2.17.1,1,2025,-1.0,negatif
jelek banget aplikasi tidak membantu banget uda abis pulsa ttp tidak bisa masuk yanh pemberitahuan error data tidak temukan mulu,negatif,train,2c3cb641-c5c5-47ef-a738-3a1bd11824ef,jelek banget aplikasi tidak membantu banget uda abis pulsa ttp tidak bisa masuk yanh pemberitahuan error data tidak temukan mulu,1,2025-07-09 16:16:42,,0,2025,-4.4,negatif
aplikasi jakone mobile berguna banget bisa beli pulsa bayar apapun bisa transaksi mudah banget tidak ribet prosesnya cepat keren deh pokoknya tampilan nya menarik ngga nyesel udah download aplikasi,positif,train,ba615bd6-a837-46e2-aa5c-72370e8cb490,aplikasi jakone mobile berguna banget bisa beli pulsa bayar apapun bisa transaksi mudah banget tidak ribet prosesnya cepat keren deh pokoknya tampilan nya menarik ngga nyesel udah download aplikasi,5,2023-01-23 20:25:56,1.0.6,0,2023,5.6000000000000005,positif
aplikasi masukin no hp tidak bisa payah bacaan silakan coba 91 gimana sih,negatif,test,7d82bc50-bcfc-4596-9531-4b0440e8c517,aplikasi masukin no hp tidak bisa payah bacaan silakan coba 91 gimana sih,2,2025-03-19 02:05:17,2.17.1,4,2025,-0.3999999999999999,negatif
sekelas aplikasi keuangan perbankan bener buruk,negatif,train,61826251-b69d-4a4a-b36f-99c14e19b147,sekelas aplikasi keuangan perbankan bener buruk,1,2025-04-05 07:08:41,,0,2025,-0.4,negatif
menyulitkan data sesuai tidak bisa masuk bank update cepat tidak pakai ribet ayoo berubah,negatif,train,ba0e2ff3-808f-4acc-9a67-6200d1a88990,menyulitkan data sesuai tidak bisa masuk bank update cepat tidak pakai ribet ayoo berubah,3,2023-06-12 14:15:19,2.0.0,1,2023,-0.2,negatif
kenapa tidak bisa buka,negatif,val,0d9ebdb2-752e-48d3-ac66-6f82b183ed1b,kenapa tidak bisa buka,5,2023-05-20 14:15:06,1.0.12,0,2023,-0.6,negatif
ok,positif,test,66365d4e-7049-429d-81c7-f5d862b34c61,ok,5,2024-09-10 12:59:03,,0,2024,0.8,positif
apaan sih ni aplikasi kesini tidak jelas kebanyakan offline nya tolong min benerin,negatif,train,3e0e5f01-2358-457e-a6c0-03f0fd8babbd,apaan sih ni aplikasi kesini tidak jelas kebanyakan offline nya tolong min benerin,1,2025-09-01 18:23:51,2.17.1,0,2025,-1.4,negatif
bermanfaat kebutuhan ekonomi sehari hari,positif,train,93d8c981-34de-4369-b7fc-a92aa3d19a29,bermanfaat kebutuhan ekonomi sehari hari,4,2023-05-21 05:03:12,1.0.12,0,2023,1.8,positif
susah pengambilan foto nya aturan mah nga pakai foto,positif,train,0f0ac732-2890-4e20-be3b-df69e203e9e3,susah pengambilan foto nya aturan mah nga pakai foto,3,2023-06-12 12:06:00,,0,2023,0.6,positif
top up uang elektronik sehari belum masuk parahh saldo jg belum rekening,positif,train,038e698d-52fc-4110-952f-8416666ee088,top up uang elektronik sehari belum masuk parahh saldo jg belum rekening,1,2024-03-15 14:15:02,2.10.0,3,2024,1.0,positif
