clean_review,label_v1,label_v2,label_v3,skor_v1,skor_v2,skor_v3
cepat,positif,positif,positif,3.0,3.0,0.6
ngirim kode otp lambat sinyal bagus tidak kendala hp apalah aplikasi nya setengah jam kaga kode otp bener nomer masukin aneh,negatif,negatif,positif,-10.0,-10.0,0.4
top up e wallet saldo direkening kepotong biaya admin masuk ewallet jaringan bagus aplikasi muncul tulisan periksa jaringan busuk aplikasi,negatif,negatif,negatif,-5.0,-5.0,-2.6
sinyal jelek aplikasi tidak kebuka,negatif,negatif,negatif,-14.0,-14.0,-1.0
isi dana saldo dipotong uangnya tidak masuk coba telpon cs ternyata nomornya tidak aktif coba kirim email tak jawaban buruknya no respon,positif,positif,positif,4.0,4.0,1.8
udah top up isi saldo saldonya tidak masuk rekening bank dki pdhl rekening pengirim kepotong,positif,positif,positif,8.0,8.0,0.2
masukin username pw sinyal kencang aplikasi kesalahannya tolong diperbaiki lgi memudahkan pengguna jakone,positif,positif,positif,6.0,6.0,1.5999999999999999
udah error kode otp tidak bisa bisa hadeh aplikasi gajelas,negatif,negatif,negatif,-21.0,-21.0,-2.4000000000000004
pemakaian hp rusak ribet banget ngga solusinya cs sarannya suruh nyoba dicoba nyengir2 difoto data tidak terverifikasi m banking jelek se indonesia layanan buruk,negatif,negatif,negatif,-13.0,-13.0,-3.4
transaksi keuangan mudah,positif,positif,positif,8.0,8.0,0.8
terimakasih jakone membantu bertransaksi,positif,positif,positif,12.0,12.0,2.4
sampah login doang pakai kepotong pulsa masuk persulit,negatif,negatif,negatif,-9.0,-9.0,-0.6000000000000001
pelayanan bagus memuaskan menyenangkan,positif,positif,positif,14.0,14.0,3.0
disuruh pakai bank pastikan aplikasi nya bisa dipakai sempurna jangan uji coba dah disuruh pakai,negatif,negatif,netral,-7.0,-7.0,0.0
error dibutuhin tiba tiba error mulu tolong diperbaiki sistem nya,negatif,negatif,negatif,-9.0,-9.0,-3.0
bisa tidak si jangan lambat,negatif,negatif,positif,-9.0,-9.0,0.6
payah banget dah gada peningkatan nih dah ganti nama,negatif,negatif,negatif,-2.0,-2.0,-0.4
lambat banget banking bikin uang transfer yangkut,positif,positif,negatif,2.0,2.0,-0.8
puas,positif,positif,positif,3.0,3.0,0.8
daftar online susah banget pas swafoto loading jelek banget server nya,negatif,negatif,negatif,-2.0,-2.0,-1.2000000000000002
kirim otp berkali2 doang pulsa kepotong bikin mbking kg bisa2,netral,netral,positif,0.0,0.0,0.6000000000000001
top up dana belum masuk saldo potong pelayanan buruk sistem ancur,positif,positif,positif,6.0,6.0,0.19999999999999996
kenapa sih bank dki kesini susah transfer sekalinya bisa dana tidak masuk rek tujuan saldo kepotong tolong layanan pemerintah tingkatkan perbaiki kualitas layanannya,positif,positif,positif,11.0,11.0,1.6
sumpah bngt error transfer kesono kualitasnya,negatif,negatif,negatif,-2.0,-2.0,-0.4
bagus,positif,positif,positif,2.0,2.0,0.6
gagal verifikasi payah ganti device seribet jackone bank bisa cs telp call center tidak bisa penyelesaian,negatif,negatif,negatif,-4.0,-4.0,-0.4
parah lambat,negatif,negatif,negatif,-4.0,-4.0,-1.6
aplikasi bapuk,negatif,negatif,netral,-4.0,-4.0,0.0
gmn yaa setelah upgrade kok login keterangan nya user terkunci pdhl benar user pw nya,positif,positif,negatif,2.0,2.0,-0.8
bank daerah sistem pelayanan terburuk indonesia,negatif,negatif,negatif,-1.0,-1.0,-0.20000000000000007
login ribet banget,negatif,negatif,negatif,-3.0,-3.0,-0.8
pulihkan kbalih jek one mobil,positif,positif,positif,1.0,1.0,0.2
tidak jelas banget masa nomer rekening salah mulu bank,negatif,negatif,negatif,-7.0,-7.0,-1.4
buka aj lamaaaaaaa banget sampe tidak kebua aplikasi niat kgk sih bikin aplikasi,negatif,negatif,negatif,-12.0,-12.0,-0.39999999999999997
alhamdulillah terimakasih jakone mobile gajian ku mudah cek aplikasi,positif,positif,positif,6.0,6.0,1.9999999999999998
dapetin kartu visa dimana tidak jelas banget,negatif,negatif,negatif,-5.0,-5.0,-0.39999999999999997
aplikasi error makan pulsa kirim otp cs tidak gercep anggurin 3 hari ampunnn pokoknya pakai bank,negatif,negatif,negatif,-17.0,-17.0,-1.0
aplikasi lambat pindah hp susah bener data benar verif wajah model pinjol tengok kanan tengok kiri senyum ending diarahkan cabang cabang jg tidak solusi alasan aplikasi error ampun dah,negatif,negatif,negatif,-16.0,-16.0,-3.5999999999999996
ok,positif,positif,positif,4.0,4.0,0.8
aplikasi jlk kode verifikasi tidak masuk,negatif,negatif,netral,-9.0,-9.0,0.0
bisa tidak jackcardnya cek saldo pakai aplikasi tidak pakai jakone mobile mw pakai jakone mobile registrasi udah registrasi lupa username paswod susah banget ambil datanya,negatif,negatif,negatif,-22.0,-22.0,-3.2
serimg erro aplikasi tolong lebih diperbaiki kualitas pelayanan nya,positif,positif,positif,7.0,7.0,1.4
agak kesulitan hendak melanjutkan membuat aplikasi jek one mobile,negatif,negatif,negatif,-7.0,-7.0,-0.6000000000000001
bobrok klo make qris nyangkut mulu nyusahin karyawan toko pembeli,positif,positif,negatif,2.0,2.0,-0.19999999999999996
bank tidak jelas ya transaksi kedebit tidak masuk udah lebih 5 beberapa bulan,netral,netral,positif,0.0,0.0,0.20000000000000007
banget gangguan tahun kemarin gangguan 1 bulan gangguan atm saldo rp 100 000 lenyap,negatif,negatif,negatif,-3.0,-3.0,-3.2
ko tranfer dana hari minggu 5 april 2026 pemberitahuan tranfer gagal ulang gagal kenapa saldo tetep potong bisa jelaskan,negatif,negatif,negatif,-7.0,-7.0,-1.7999999999999998
buka rek syariah berhasil pas isi saldo rek isi kesini kok no rek nya tidak ditemukan anehhhhhh nyoba apps bank tidak ditemukan no rek nya kocak banget dpt no rek tidak bs digunain,negatif,negatif,negatif,-1.0,-1.0,-1.0000000000000002
setiap kirim ewalet gagal saldo rekening terpotong,negatif,negatif,negatif,-3.0,-3.0,-1.0
bukannya permudah persulit,negatif,negatif,negatif,-3.0,-3.0,-0.6
jakone mobile kaga jelas kok ya merugikan pengunanya 3x galal topup dana gopay uagnya berkurang klo merugikan orang mending hapus,positif,positif,positif,5.0,5.0,0.4
saldo terpotong transferan tidak masuk2 saldo ngegantung nunggu balik lg saldonya banget gagal proses ya gagal aj jangan saldo ikut dipotong uang jg butuh merugikan banget,negatif,negatif,negatif,-20.0,-20.0,-2.4
knp aplikasi bank dki tidak fitur transfer bank tidak jls banget,negatif,negatif,positif,-13.0,-13.0,0.2
kenapa aplikasi tidak menu transfer antar bank bi fast,negatif,negatif,netral,-9.0,-9.0,0.0
mbanking kjp anak bisa digabung jackone ortu tidak ya btw nomor kjp mbanking ibu sma,negatif,negatif,negatif,-12.0,-12.0,-1.4
bank pembangunan daerah pertama indonesia pelayanan aplikasi lemah busuk lambat sinyal lemah walaupun pakai wifi kenceng mengkaitkan ulang nomor telepon padahal memasukkan nomor otp benar bermasalah terutama hari hari,positif,positif,negatif,9.0,9.0,-3.000000000000001
kenapa tidak bisa login padahal nomor ponsel dah bener gajelas nih aplikasi ppk,negatif,negatif,negatif,-9.0,-9.0,-1.0
kirim otp lamanya ampun dah padahal udah bener nomor nya,positif,positif,negatif,3.0,3.0,-0.19999999999999996
percuma ganti nama bank klo minim perubahan masa verifikasi wajah pagi sore tidak bisa biasanya gnti hp verifikasi lancar loading doank berhasil tidak gagal engga muter doank diulang berxx miris bank dki katanya kota global aplikasi mobile bankingnya parah,negatif,negatif,negatif,-5.0,-5.0,-0.3999999999999999
lupa pasword bikin mati hidup serasa mati potongan gilla kaya rampok,positif,positif,negatif,6.0,6.0,-4.4
ok membantu,positif,positif,positif,8.0,8.0,1.6
terilang sy tidak bs buka jakone mobile nomer hp ganti rusak bank terdeket jatiwaringin tidak bs melayani karn sdng gangguan,positif,positif,negatif,2.0,2.0,-2.0
ok sip,positif,positif,positif,4.0,4.0,1.4
bisa bintang 0 bintang 0 dah buka aplikasi banget server error kode sms otp nya ya ampun nunggu se abad nyesel make atm beginian,negatif,negatif,negatif,-13.0,-13.0,-2.5999999999999996
kirim ewalet gagal potong padahal jaringan lancar nya segera d perbaiki,positif,positif,negatif,6.0,6.0,-0.20000000000000007
parah nih aplikasi banget error transfer gagal saldo kepotong tidak masuk tujuan coba transfer gagal 2 transfer gagal saldo kepotong tidak masuk tujuan paraahhh dki kapok transaksi menggunakan dki,negatif,negatif,negatif,-22.0,-22.0,-5.3999999999999995
error saldo berkurang klau krim waket dana,negatif,negatif,negatif,-1.0,-1.0,-0.6000000000000001
aplikasi tidak jelas login beberapa menit top up langsung blokir apaan lu nyuri uang gua gitu login beberapa menit akun gua langsung blokir,negatif,negatif,negatif,-15.0,-15.0,-0.4
sangatbmembantu,netral,netral,netral,0.0,0.0,0.0
amat membantu,positif,positif,positif,8.0,8.0,0.8
kirim uang dana 200ribu keterangan pas kirim gagal coba kirim ternyata uang transfer keluar sebanyak 4x sebesar 800ribu keterangan gagal tidak keterangan berhasil cek dana masuk 2x sebesar 400ribu sisa uang kemana 400ribu pokoknya gw tidak simpen uang bank jakarta aplikasi dana minim keamanan auto gw transfer gw bank,negatif,negatif,negatif,-16.0,-16.0,-0.19999999999999996
abis ngisi top up jack card bank dki 100 rb gbisa update saldo haduuh gmana bank dki,positif,positif,positif,8.0,8.0,0.6
tidak niat bikin aplikasi jangan bikin aplikasi la taman wisata ragunan tidak bisa daftar aneh banget tidak jelas pt bank dki,negatif,negatif,positif,-20.0,-20.0,1.1102230246251565e-16
tutup aplikasi skalian banknya daftar rekening 3 jam tidak kelar2 da tidak berhasil waras tidak nya digaji,negatif,negatif,negatif,-21.0,-21.0,-1.6
banget tidak bisa buka aplikasi mohon bisa diperbaiki aplikasi terima kasih,negatif,negatif,positif,-3.0,-3.0,0.6000000000000001
klik login setiap muncul notifikasi sesi berakhir silahkan login kmdian masuk halaman login menerus mhn memperbaiki sistemnya,positif,positif,netral,1.0,1.0,0.0
restart,netral,netral,netral,0.0,0.0,0.0
fitur biometrik tidak bisa ya keluar aplikasi coba aktifkan fitur bisa diperbaiki bug nya,negatif,negatif,negatif,-6.0,-6.0,-0.9999999999999999
atm nya buruk menu transfer antar bank hilang,negatif,negatif,negatif,-2.0,-2.0,-1.8
uang masuk tidak ads notifikasi,negatif,negatif,netral,-8.0,-8.0,0.0
jelek banget ni mbanking sumpah dah transfer masa susah banget tidak dpt jaringan bkn bgitu lumayan tolong dibenerin sistemnya,negatif,negatif,negatif,-4.0,-4.0,-2.4
parah sih kebiasaan banget setiap transaksi gagal saldo ikut terdebit mending saldo nya nyampe kerekening tujuan saldo ngegantung nunggu balik rekening kitanya banget aneh banget bank banget merugikan nasabah,positif,negatif,negatif,10.0,10.0,-1.2
sistem nya kayak hp jadul masa top up e wallet 3x tidak masuk saldo kepotong emang bisa balik lg sih ngeribetin tidak kerja hrs pakai dki mah ogah sy,negatif,negatif,negatif,-18.0,-18.0,-2.0
susah banget sih login doank data bilang salah padahal benar klik tidak memiliki rekening ttp suruh isi nomor rekening mksdnya gmn aneh,negatif,negatif,negatif,-8.0,-8.0,-3.0
harap perbaiki mbanking knepa kirim saldo tidak masuk saldonya potong mulai tidak jelas,negatif,negatif,positif,-2.0,-2.0,0.20000000000000007
mohon diperbaiki sistemnya kenapa tidak bisa login tiba tiba bahkan setelah chat cs solusinya kantor cabang,positif,negatif,positif,3.0,3.0,0.19999999999999996
tidak berguna lupa pasword idnya,negatif,positif,negatif,-9.0,-9.0,-1.4
pelayanan bank jakarta payah tidak bank swasta gercep memprioritaskan customer nasabahnya,negatif,negatif,positif,-2.0,-2.0,0.6
bermanfaat,positif,positif,positif,5.0,5.0,1.0
bank jakarta gimana sihhh tidak banget gua berkali top up dana gagal saldo kepotong tidak masuk dana ujung ujungnya beberapa hari saldo rekening bank bener bener tidak capek gua pakai bank klo bulan kerjaan ogahh gua pakai bank jakarta,negatif,negatif,positif,-9.0,-9.0,1.1102230246251565e-16
salam gangguan jaringan min transaksi gagal saldo terpotong jaringan muter tidak jelas berhasil tidak nya tolong perbaiki jaringan servernya,positif,negatif,negatif,3.0,3.0,-4.6000000000000005
siiipppppp,netral,netral,netral,0.0,0.0,0.0
kebanyakan d korupsi neh aplikasi aplikasi tidak beres,negatif,negatif,negatif,-15.0,-15.0,-0.8
aplikasi tidak berjalan perangkat stuck tidak muncul halaman login kemarin gimana masuk nya,negatif,negatif,positif,-18.0,-18.0,0.6
aplikasi primitif balik zaman batu aktivasi lambat giliran lancar data udah bener eh pas langkah masukin kode otp tidak bisa padahal kodenya diterima sms gimana nasabah nyimpen uang disini uang turun langsung dikuras setor bank lebih ngasih kemudahan akses nasabah soalnya masalah uang agak sensitif orang butuh tidak bisa diakses kapanpun mending cari bank ngasih kemudahan akses,positif,positif,positif,23.0,23.0,1.0
aplikasi bank gajian thr langsung down listing,negatif,negatif,netral,-4.0,-4.0,0.0
bank dki oke,positif,positif,positif,2.0,2.0,0.6
udah kepotong saldo belum masuk tolong bantu,positif,positif,positif,11.0,11.0,0.6
knp ko masuk m bnking tidak bisa pdhl dh punya rekning mohon bantuan ny masuk gagal menunjukn 0019,negatif,negatif,negatif,-10.0,-10.0,-1.4
susah mengaktifkan kmbli jakone mobil dihp pindah perangkat mohon bantuannya hp,positif,positif,negatif,1.0,1.0,-1.0
gimana si bank dki top up dana 500 pertama gagal top up 2 berhasil jumlah 500 saldo kepotong hilang 500,positif,positif,positif,18.0,18.0,1.8
layanan offline error tidak trjangkau lahhhh sukak2 kao,negatif,negatif,negatif,-7.0,-7.0,-0.4
aplikasi tidak rasa tanggung jawab saldo pindah akun dana belom masuk saldo ilang,negatif,negatif,negatif,-4.0,-4.0,-1.6
min gimana top up 2 1 jt 1jt yng masuk 1 jt pdhl saldo kepotong haduuh urus kemana,positif,positif,positif,4.0,4.0,1.0
transfer jakone mobile transaksi proses 24jam saldo belum balik aplikasi gajelas,positif,positif,positif,6.0,6.0,0.6
aplikasi tidak bisa buka kemarin,negatif,negatif,negatif,-6.0,-6.0,-0.6
topup saldo dana terpotong 2 x saldo rekening nya eh tidak masuk dana nya bingung lapor nya kemana tolong bantu admin,positif,positif,positif,15.0,15.0,2.0
bank apalikasi nya bertele ampun banget,positif,positif,negatif,2.0,2.0,-0.39999999999999997
gile buka loading nya tidak ketulungan dibilang masalah jaringan kayanya tidak soalnya udah nyoba pakai wifi internet hp telkomsel axis sampe nya muter kaya aplikasi kederrr,negatif,negatif,negatif,-11.0,-11.0,-1.8
aduh aplikasi tidak selfi data error mulu teatm it nya sekolah tidak sih,negatif,negatif,negatif,-16.0,-16.0,-1.2000000000000002
permisi min nanya masukan nomor telepon nah nomor telepon benar kok sms tidak masuk ya udah coba 3 tidak bisa apakah solusi,positif,positif,negatif,3.0,3.0,-0.19999999999999996
aplikasi tidak beres masalah nya,negatif,negatif,negatif,-13.0,-13.0,-0.8
aplikasi tidak bisa gunakan udah punya rekening arah in buka tabungan udah masukin no susah nya kaya tidak ketulungan petasan nilai rantingnya jelek banget,negatif,negatif,negatif,-4.0,-4.0,-1.4
ajukan kartu atm nya yah,netral,netral,netral,0.0,0.0,0.0
aplikasi gila susah banget transfer isi pulsa macem susah tidak sinyak mulu muter mulu padahal pulsa sinyal kuota banyaaak,negatif,negatif,negatif,-15.0,-15.0,-4.6000000000000005
log in masuk nomor tlpn tidak nerima kode otp sampe capek tidak jg sms n5a,negatif,negatif,positif,-12.0,-12.0,0.8
pembayaran qris kendala malu maluin bayar disaat ngantri,positif,positif,negatif,3.0,3.0,-0.8
jelek banget sistem nya,negatif,negatif,negatif,-8.0,-8.0,-1.8
aplikasi error mulu kacaau,negatif,negatif,negatif,-7.0,-7.0,-1.2
tidak jelas tidak bisa transfer rekening topup ovo dana dll sampah error kacau dah sekelas bank daerah,negatif,negatif,negatif,-19.0,-19.0,-3.2
aplikasi tidak jelas bukannya perbaikan down sistemnya nya belajar kasus kemarin perbaikan,negatif,negatif,netral,-7.0,-7.0,0.0
daftar isi no hp tunggu kode verifikasi via sms 2 jam kaga sms ny cacat aplikasi,negatif,negatif,negatif,-8.0,-8.0,-2.4
oke mudah gunakan bank jakarta tolong aktipkan pembayaran bpjs ketenagakerjaan virtual account bank dll terimakasih,positif,positif,positif,14.0,14.0,2.4
otp nya susah udah 2 jam bolak balik coba ttp tidak bisa masuk,negatif,negatif,negatif,-12.0,-12.0,-1.7999999999999998
topup dana tidak masuk masuk no callcenter tidak bisa hubungi tolong segera perbaiki,netral,netral,positif,0.0,0.0,0.8
aplikasi sampah error,negatif,negatif,negatif,-13.0,-13.0,-1.8
baguss,netral,netral,positif,0.0,0.0,0.6
gimana banget kejadian transfer belum masuk saldo udah kepotong laporan email belom langsung direspon,positif,positif,positif,8.0,8.0,0.6000000000000001
aplikasi tahap percobaan ya ngirim uang dana transaksi gagal uangnya terkirim istory aplikasi kurangnya coba perbaiki,positif,negatif,positif,2.0,2.0,0.8
perbaikan lg kinerjanya jangan ngeremehin org susah,negatif,negatif,netral,-3.0,-3.0,0.0
lambat banget kirim kode otp pdhl paketan ad 75 gb ngirimin kode otp cepat woy,positif,positif,positif,1.0,1.0,0.19999999999999996
alhamdulillah,positif,positif,positif,5.0,5.0,1.0
mantap,positif,positif,positif,5.0,5.0,1.0
amat buruk saldo jelas isi tiba tiba habis sisa 0 pakai bayar tiket kaget saldo tidak mencukupi padahal belum 10 menit diisi udah tiba tiba 0 parah sih tidak ikhlas banget uang tiba tiba lenyap tidak tau kemana bukan soal nominal yah aga nyesek tiba tiba uang rekening lenyap seketika pelajaran banget tidak nabung dibank aplikasi nya uninstall,negatif,negatif,negatif,-29.0,-29.0,-3.1999999999999997
bagus,positif,positif,positif,2.0,2.0,0.6
email komplenan pengaduan cs tidak ad kabar tntang refund jakpay rek gagal 2x saldo terpotong tgl 18 febr bulan maret belm ad kabr nya,negatif,negatif,negatif,-9.0,-9.0,-2.0
dl daftar jakone mobile tidak bisa katanya punya pulsa utama eh giliran udah punya pulsa utama tetep tidak bisa pasang jakone,negatif,negatif,netral,-3.0,-3.0,0.0
aplikasi tidak bisa kebuka tolong perbaiki ya,negatif,negatif,positif,-2.0,-2.0,0.20000000000000007
ko vermuk gx bsa mulu aneh aplikasi,positif,positif,positif,2.0,2.0,0.6000000000000001
mitra bisnis qu,positif,positif,negatif,5.0,5.0,-0.20000000000000007
kecewa top up dana tidak masuk padahal berkurang laporan tidak respon masa duit ilang tidak tau kmn,negatif,negatif,negatif,-14.0,-14.0,-0.8
bagud,netral,netral,positif,0.0,0.0,0.6
verifikasi wajah banget abis koneksi gagal,netral,netral,negatif,0.0,0.0,-1.8
kok saldo suka 0 padahal 29000 bukan 2kali bank dki cek mutasi tidak keterangan parah jelasin bank dki,negatif,negatif,negatif,-12.0,-12.0,-1.2000000000000002
aplikasi knp ya kok pas konfirmasi apakah mempunyai rekening belum jawab iya tidak bisa klik nya tidak tolong segera diperbaiki ya,positif,positif,positif,1.0,1.0,4.6
verif muka general error 0404 udah cs tetep tidak solve,negatif,negatif,negatif,-10.0,-10.0,-1.0
servernya lelet digunakan,netral,netral,netral,0.0,0.0,0.0
mobile banking nya jelek,negatif,negatif,negatif,-5.0,-5.0,-1.0
ok,positif,positif,positif,4.0,4.0,0.8
aplikasi nya bagus keren,negatif,negatif,positif,-2.0,-2.0,1.4
mantaps pokonya mah,negatif,positif,negatif,-2.0,-2.0,-0.4
good job,positif,positif,positif,5.0,5.0,1.0
ngabisin pulsa doank berkali2 coba tidak bisa2 otp tidak masuk2 pulsa kesedot habis parah kecewa banget,negatif,negatif,negatif,-15.0,-15.0,-1.0000000000000002
buka rekening rekening mati pas cek atm tidak bisa proses transaksi bikin mbanking tidak bisa masuk data salah padahal berkali2 masukin data bener dah maksudnya,negatif,negatif,negatif,-13.0,-13.0,-3.4000000000000004
udah cb masuk berkali ttp gbs sampe menghabiskan pulsa cm masuk doang pdhl data bnr ttp hrs ngulang mulu sampe skrg belum bisa masuk,negatif,negatif,negatif,-18.0,-18.0,-1.2000000000000002
nunggu kode otp berulang 5 menit tidak masuk pesan memindahkan dki mobile perangkat hp rusak,positif,positif,negatif,2.0,2.0,-2.2
lancar,positif,positif,positif,4.0,4.0,0.8
susah otp knp sih,negatif,negatif,negatif,-3.0,-3.0,-0.6
transfer mengunakan jakone mobile prosesnya saldo terpotong sesuai trasfer tidak masuk rek tujuan walupun 1x24 jam masalah masalah perbaiki cobalah tim terkaitnya bahan epaluasi jelas merasa terhambat terimakasih,negatif,negatif,negatif,-15.0,-15.0,-2.6000000000000005
pengalaman tidak mengenakan transaksi transfer ewallet saldo dki terpotong tidak masuk rek tujuan coba menghungi call center disuruh tunggu 10 hari kerja woi jelas kesalahan system kalian bukannya salah transfer knpa w nunggu seharusnya klo transaksi mbaking gagal mustinya secara otomatis saldo balik bukannya disuruh nunggu,negatif,negatif,negatif,-11.0,-11.0,-3.8
gimna si masuk tidak bisa bisa bilang nya data terdaftar sms udah ngabisin pulsa bisa berpungsi tidak si aplikasi tidak bisa tolong hapus merugikan orang,negatif,negatif,negatif,-27.0,-27.0,-1.6
aplikasi penting menunjang percepatan sektor keuangan,negatif,negatif,negatif,-4.0,-4.0,-0.6
e banking tidak bisa dibuka kontak call swrvice disuruh un install download aplikasi ulang setelah download eh tetep tidak bisa dibuka tampil halaman layar doang bahkan tidak bisa halaman login lha gimana lanjut agan,negatif,negatif,negatif,-15.0,-15.0,-4.4
sampah duit gw balikin oi 1 juta narik 2 juta ilang 1 juta mesin atm,negatif,negatif,negatif,-3.0,-3.0,-0.6
aplikasi tidak beres verifikasi data susah bener kantor cabang tidak bisa mengatasi emang tidak bisa beresin hapus aplikasi,negatif,negatif,negatif,-29.0,-29.0,-1.7999999999999998
sulit disampaikan ketikan mengenai keresahan hati aplikasi mohon perbaruhi lebih bersahabat wni terutama bekerja jakarta,positif,positif,positif,7.0,7.0,1.6
niat benerin pin duit raib makan sistem duit gocap gocap nya hilang suruh nunggu 3 hari gw begal tidak perubahan gw kebegal tanggal 09 februari 2026 top up dana nyampe kaga duit ttp raib woy bank jakarta berbenah sistem lu parah ngerugiin nasabah tidak sih bintang rasa nya bintang 1 bagusan aplikasi sistem se cacat,negatif,negatif,negatif,-39.0,-39.0,-6.4
gatau aplikasi tidak jelas buka aplikasi lm antam disuruh download tulisannya update aplikasi lm setelah terbuka dah tidak nyambung,negatif,negatif,negatif,-23.0,-23.0,-1.2000000000000002
topup jakcard coba pakai 3 hp 3 akun tetep tidak bisa kesalahan aneh banget tidak bisa kenapa menu top up jakcard,negatif,negatif,negatif,-3.0,-3.0,-0.20000000000000018
membatu memudahkan konsumen manapun berada bertransaksi trimakasih jakone mobile,positif,positif,positif,16.0,16.0,3.4000000000000004
aplikasi mobile banking kendala teknis terbanyak aplikasi mobile banking lainnya,negatif,negatif,netral,-8.0,-8.0,0.0
good,positif,positif,positif,5.0,5.0,1.0
kuota kok lambat tidak bisa buka mbanking nya padahal mbanking bca lancar bisa dibuka bank dki mbanking nya aneh pakai wifi tokcer kebuka,positif,positif,positif,9.0,9.0,0.8
transfer mbanking dki ewalet udah 2 hari tidak masuk proses saldo potong batalin tidak bisa,negatif,negatif,negatif,-6.0,-6.0,-1.0
layanan m banking parah,negatif,negatif,negatif,-2.0,-2.0,-0.4
mantul pakai jakone mobile,netral,netral,positif,0.0,0.0,0.8
pengajuan kmg udah seminggu permohonan statusnya gimana reject reject gaada kepastian bikin harapan cari udah terlanjur ngasih ngga nih bank dki diganti takut kita takut hukum dunia hukum langit tuhan apalagi mentang mentang kita bukan orang dki orang jabar 6 juta takut dibawa kabur duitnya m m an usaha bisnis modal muter balik bisa usahanya udah maju untung diganti tempo tahun perbulan lunas,positif,positif,negatif,10.0,10.0,-2.8
aplikasi lemotttt tidak fungsi tidak niat susah bener ngirimin otp,negatif,negatif,netral,-14.0,-14.0,0.0
pengen top up kartu jaklingko ribet bikin rekening udah gitu mesinnya gangguan pakai uang cash bagus mulus diterima,positif,positif,positif,14.0,14.0,0.4
