userName,tanggal,tahun,rating,ulasan,thumbsUp,versiApp,balasanBank,tanggalBalasan,reviewId
Ahmad Romdhoni,2022-07-21,2022,5,Sangatttt luar biasa Bank DKI Selalu Hadir Untuk Memudahkan Para Nasabah nya Untuk mengikuti perkembangan era digitalisasi.. Alhamdulillah Cara instal yang mudah di pahami.. tampilannya makin menarik dan kekinian.. jadi semakin terus menggunakan layanan nya terutama New Jakone Mobile 💪💪🇮🇩🇮🇩,2,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-18 09:46:52,37eb7564-65c8-4177-a035-bb6c303ed4f5
sigit kurniawan,2022-07-21,2022,5,Transaksi semakin mudah dengan New jakone mobile,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-18 09:54:20,45ceac68-8ceb-49f4-b252-243216b16abe
Yanti Sukma,2022-07-21,2022,5,"Aplikasinya mudah digunakan, fiturnya lebih menarik, loadingnya cepet banget, mantap 👍",0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-18 09:45:14,56e54d91-7c98-46b1-86c6-4509e8435719
Gorda Eldinin,2022-07-21,2022,5,"Keren aplikasinya, tampilan lebih fresh & modern, jadi lebih elegant & bonafid. Semoga fitur-fiturnya semakin lengkap. Sukses buat Jakone mobile Bank DKI",0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-18 09:46:00,ddc4523d-02ac-486f-af20-907dff861e2c
Sri Utami,2022-07-21,2022,5,Aplikasi yg nyamam utk bertransaksi,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-18 09:29:00,4206080a-795f-49bd-8f0e-3b59d58e1ad1
Dhacut Firmansyah,2022-07-21,2022,5,Semua jd mudah dengan New jakone.... Matap,1,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-18 09:32:06,38b53401-e4f5-4ed7-80d9-f6e1d7e036e9
lina susanti,2022-07-21,2022,5,tampilan aplikasi lebih bagus,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-18 09:36:56,7eb40a43-9f54-469b-ae03-67a5cfae6cb0
Heru susanto,2022-07-21,2022,5,Fiturnya keren,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-18 09:30:38,68f441f5-438a-4ae5-9d8f-85a04c1be511
aditya fahlureza,2022-07-21,2022,5,"Teknologi Bank DKI Makin mantabs, transaksi jd semakin mudah",0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-18 09:37:37,ef31d996-022f-4365-bde5-e3bb3f158c0d
Yusuf Nawawi,2022-07-21,2022,5,Tampilan nya keren... Fitur lengkap... Tingkat keamanan tinggi... Mudah penggunaannya 👍👍,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-18 09:38:01,2db4f524-d97a-449b-9cd6-2d861394e4e8
Ali Marsudi,2022-07-21,2022,5,"Aplikasi perbankan yang digital, hanya dengan New Jakone Mobile semua bentuk transaksi jadi mudah..",0,1.0.0,Terimakasih atas respon apresiatif Bapak / Ibu. Kami senantiasa akan meningkatkan layanan untuk nasabah.,2022-08-03 07:18:18,efc9f5ef-0e67-4fb8-8d8c-9c79324b572c
Okta Popi,2022-07-21,2022,5,Kece bangettt 😍😍😍,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan perbankan Bapak / Ibu.,2022-08-03 08:59:46,530a244d-1714-4336-9619-4bbcad7de79c
Anto rism,2022-07-21,2022,5,"Mbankingnya sangat mempermudah, di zaman digitalisasi seperti saat ini",0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-18 09:37:15,5a821f2c-9d5c-4f9c-b15a-75c1138c458a
Poal Sumantri,2022-07-22,2022,5,Bank dki makin maju dgn aplikasinya,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-17 23:38:11,a6366e3a-c1db-4506-b462-cf6829451aba
Taufan Triwicaksono,2022-07-22,2022,5,"Mobile banking plus e wallet utk pembayaran qris, bisa deposito online setiap saat n dimanapun berada...mantab Bank DKI",0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-17 23:35:05,5c154091-5bcb-4587-bcc1-ef7bc0f1ff6c
Harisanto,2022-07-22,2022,5,Super keren.. urusan perbankan jadi lebih mudah & lancar,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan perbankan Bapak / Ibu.,2022-08-03 08:01:49,ef6ec646-a4f7-4fcf-a217-20304682cffc
RR Nur Widayanti,2022-07-22,2022,5,Mutasi rekening lebih lama sangat membantu dan lebih keren.,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-17 23:37:57,bad9578e-a814-472a-b183-b952777ba772
Erni Fitriyanti,2022-07-22,2022,5,Makin oke nih.. Lebih praktis smoga bermanfaat..,1,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan perbankan Bapak / Ibu.,2022-08-03 07:22:43,b3877622-3785-4ebf-803a-0db70e066a9f
Yonnedi Channel,2022-07-22,2022,5,Aplikasi yang sangat membantu,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-17 23:37:15,c5ddf889-0087-4b27-826f-e8e74040ee46
Purwanto Suparno,2022-07-22,2022,5,Fitur di jakone agar terupdate juga di newjakone,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-17 23:36:44,b749cff0-183c-4277-8afb-6e2035da31d5
Luthfi Rinaldi,2022-07-22,2022,5,Udah di coba mantapp gann !!,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-17 23:35:36,be5100dc-55f9-407f-be62-64845742b802
Ahmad Hafidh Adli,2022-07-22,2022,5,Mantap semakin canggih 👍,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-17 23:34:49,1a6dc158-9cae-45f1-a68a-4f3d8334460e
isra ningsih,2022-07-22,2022,5,"Lebih praktis, simple, keren, mantep bank dki",0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-17 23:33:41,95b5c920-ac0c-4946-a93c-881c4e6e62d5
Andi Wahyudi,2022-07-22,2022,5,Keren bingit new jakone nya,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan perbankan Bapak / Ibu.,2022-08-03 09:40:49,32936f96-f7a9-4415-85fa-251fcf35878e
Selvia Bauzier,2022-07-22,2022,5,"Keren bgd makin canggih dan inovatif, bisa untuk semua pembayaran .. keren bank DKI..",0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-17 23:34:36,c9c15ecc-4a41-4a7d-8d92-0e731e5acaa9
Deasy,2022-07-22,2022,5,"Lebih mudah, praktis dan tampilannya keren",0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-17 23:33:54,92e21918-4eda-4273-aabf-a0e106b760f9
Desi Nchi,2022-07-22,2022,5,"Aplikasi dompet digital kerreennn👍👍👍👍 mau transaksi apapun jd lebih mudah,praktis dan efisien👌",0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-17 23:33:28,f7514411-c0d4-4709-8aca-e8d0226d745c
ardhi Hidayat,2022-07-22,2022,5,Bagus Banget,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-17 23:33:11,ad0c06d3-528c-4221-a4f2-506359748999
Yopi Ardet,2022-07-22,2022,5,"Aplikasi keuangan untuk transakasi, tinggan Scan",0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-17 23:29:36,92fd76e9-1b5d-47d1-bb91-b386e440896d
Amirul mukmin Azris,2022-07-22,2022,5,Lebih praktis dan lebih mudah,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-17 23:29:10,96a557e2-79cb-47ef-8027-df83f4309ff8
DENNY I.P,2022-07-22,2022,5,"mantap,lebih kekinian dan user friendly",0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-17 23:38:24,52879598-9a24-4fba-b69f-e0b34c462296
restu suci,2022-07-22,2022,5,"Tampilan fresh, keren dan lengkap",0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan perbankan Bapak / Ibu.,2022-08-03 08:02:40,91e5ed34-2f9e-4d57-a762-56c06bbb2146
Nina Pujiyanti,2022-07-22,2022,5,Semakin keren nih tampilan dan fiturnya! 👍,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-17 23:38:58,9d6c27fa-56c2-4be7-a443-7555df13d5dc
Rafich Brammastha,2022-07-22,2022,5,"Mantap.. semakin nyaman di gunakan, cepat dan tidak lola, banyak fiturnya juga.",0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-17 23:46:27,57fea9f1-c597-4c22-834f-e15b54814867
Yadhiki 82,2022-07-22,2022,5,"Sukses terus transformasi Bank Dki,, #Jangan Pernah Kendor.. ✊️✊️✊️",0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-17 23:39:44,a4ca7c30-3693-423a-a257-3196f6596527
Yunita Artdina,2022-07-22,2022,5,"Tampilan lebih bagus dibanding versi sebelumnya, lebih terinci dan lengkap.",0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-17 23:54:21,73593386-dfe3-4f35-8f0a-9592e329502b
Adisukma Kusmawardi,2022-07-22,2022,5,Sungguh bermanfaat memiliki aplikasi jakone yg terbaru,0,1.0.0,Terimakasih atas respon apresiatif Bapak / Ibu. Kami senantiasa akan meningkatkan layanan untuk nasabah.,2022-08-02 08:00:47,deebe99b-260a-47d9-a283-342c1383342f
Rahma Pramudiani,2022-07-22,2022,5,Aplikasi yg nyaman untuk bertransaksi,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-17 23:54:00,59f6aefb-8913-4d34-a1af-3143bc58be28
Ralega Purba,2022-07-22,2022,5,Jakone TOP..Luarbiasa..semakin lebih mudah...,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-17 23:53:47,f1cfd212-a6bb-4a26-a501-70885277a64b
dady aulady syarif,2022-07-22,2022,5,Aplikasi yg sangat bagus dan memudahkan nasabah dalam bertransaksi,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-17 23:53:31,83ae42da-40f1-4324-8994-93062bfa1b3e
yerni napitupulu,2022-07-22,2022,5,Makin kedepan...👏👏👏,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan perbankan Bapak / Ibu.,2022-08-03 08:00:28,da045a45-a630-41d2-b501-8d2f9ebe6fad
Julian Syah,2022-07-22,2022,5,Transaksi kemanapun serasa mudah,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-17 23:53:03,f2314eac-34cc-4b16-9b6c-d39d3b14a9ea
Ridho Faisal,2022-07-22,2022,5,"Good, sangat bermanfaat",0,1.0.0,Terimakasih atas respon apresiatif Bapak / Ibu. Kami senantiasa akan meningkatkan layanan untuk nasabah.,2022-08-02 08:08:44,d8dc74f9-148c-48b6-8067-4f83daf7f7eb
Yulius satu,2022-07-22,2022,5,"Aplikasi yang keren,lengkap fiturnya dan mudah",0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-17 23:39:28,d79a2c58-c342-41c5-81b1-e6f1a810dd0a
Agus Galih,2022-07-22,2022,5,Oke,0,1.0.0,"Terimakasih atas respon apresiatif Bapak / Ibu.Kami senantiasa akan meningkatkan layanan untuk nasabah.""",2022-08-03 08:02:03,70cadd97-f138-4172-83ce-0dbba1d2aeff
DEWI PUSPITASARI,2022-07-22,2022,5,New jakone lebih lengkap,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-17 23:45:53,9fd50dff-b99c-4883-bc7b-5481146ad73e
diah kusumarini,2022-07-22,2022,5,Bagus,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-17 23:45:39,301b6086-436f-4263-88e6-2f81e2479a0b
Indra Kusumah,2022-07-22,2022,5,"Nice app,,helpfull",0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-17 23:45:05,9421b897-3316-47e9-b7d5-d93baf991611
Azri Nur Shabrina,2022-07-22,2022,5,"Upgrade dengan tampilan baru, kerennn",0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-17 23:41:20,59531a25-bbc0-4eb9-881b-1a6c3e17a48f
Dwi A,2022-07-22,2022,5,Nice app.,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-17 23:41:08,62c447cc-75e7-44ca-aac4-b90e0667ef53
People Earth,2022-07-22,2022,5,"Aplikasi mobile Bank paling bagus, paling ok",0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan perbankan Bapak / Ibu.,2022-08-03 07:48:54,b1169592-10b7-4427-b10b-6368e190c59f
Indra MS,2022-07-22,2022,5,Semakin bagus dan keren aplikasinya,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-17 23:40:26,431cb4dd-2387-479d-aced-8750fa1e94f0
Adnan Tebet,2022-07-22,2022,5,Mantaap..,0,1.0.0,Terima kasih atas ulasannya. Semoga fitur-fitur JakOne Mobile memudahkan transaksi perbankan Bapak / Ibu.,2025-09-17 23:40:13,6b138a59-ce47-47d9-b976-3b3361c5a6ce
